OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"By God,"""" quod he, """"for pleynly, at a word","¶“By God,” quod he, “for pleinly, at a word",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 929,,10,10,By God quod he for pleynly at a word,By God quod he for pleinly at a word,u S u S u Su S u S,u S u S u Su S u S,bi@prep god@n1#propn quethen@v%pt_3 he@pron1%nom for@conj plainlie@adv at@prep a@indef_art word@n,bi@prep god@n1#propn quethen@v%pt_3 he@pron1%nom for@conj plainlie@adv at@prep a@indef_art word@n,
Thy drasty rymyng is nat worth a toord!,Thy drasty riming is nat worth a tord;,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 930,,10,10,Thy drasty rymyng is nat worth a toord,Thy drasty riming is nat worth a tord,u Su Su S u S u S,u Su Su S u S u S,thin@pron%gen drasti@adj riming@ger ben@v%pr_3 not@adv worth@adj a@indef_art torde@n,thin@pron%gen drasti@adj riming@ger ben@v%pr_3 not@adv worth@adj a@indef_art torde@n,
Thou doost noght elles but despendest tyme.,Thou doost nought elles but despendest° time,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 931,,10,10,Thou doost noght elles but despendest tyme,Thou doost nought elles but despendest time,u S u Su S uSu Sx,u S u Su S uSu Sx,thou@pron%nom don@v1%pr_2 nought@pron elles@adj but@conj dispenden@v%pr_2 time@n,thou@pron%nom don@v1%pr_2 nought@pron elles@adj but@conj dispenden@v%pr_2 time@n,
"Sire, at o word, thou shalt no lenger ryme.","Sire, at o word, thou shalt no lenger rime.",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 932,,10,10,Sire at o word thou shalt no lenger ryme,Sire at o word thou shalt no lenger rime,ux S u S u S u Su Sx,ux S u S u S u Su Sx,sire@n at@prep o@num_adj word@n thou@pron%nom shulen@v1%pr_2 no@adv lengere@adv%comp rimen@v1%inf,sire@n at@prep o@num_adj word@n thou@pron%nom shulen@v1%pr_2 no@adv lengere@adv%comp rimen@v1%inf,
Lat se wher thou kanst tellen aught in geeste,"Lat see wher thou canst tellen aught in geste,°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 933,,10,10,Lat se wher thou kanst tellen aught in geeste,Lat see wher thou canst tellen aught in geste,u S u S u Su S u Sx,u S u S u Su S u Sx,leten@v%imp sen@v1%inf whether@conj thou@pron%nom connen@v%pr_2 tellen@v%inf ought@pron in@prep geste@n1,leten@v%imp sen@v1%inf whether@conj thou@pron%nom connen@v%pr_2 tellen@v%inf ought@pron in@prep geste@n1,
"Or telle in prose somwhat, at the leeste",Or telle in prose somwhat at the leste,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 934,,10,10,Or telle in prose somwhat at the leeste,Or telle in prose somwhat at the leste,u Sx u Su Su S u Sx,u Sx u Su Su S u Sx,or@conj tellen@v%inf in@prep prose@n som-what@pron at@prep the@def_art leste@adj1#n%sup,or@conj tellen@v%inf in@prep prose@n som-what@pron at@prep the@def_art leste@adj1#n%sup,
In which ther be som murthe or som doctryne.,In which ther be som mirthe or som doctrine.&apos;,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 935,DIFF,10,0,In which ther be som murthe or som doctryne,In which ther be som mirthe or som doctrineapos,u S u S u Sx u S uSx,        ,in@prep which@pron ther@adv ben@v%pr_3 som@gram_adj mirthe@n or@conj som@gram_adj doctrine@n,in@prep which@pron ther@adv ben@v%pr_3 som@gram_adj mirthe@n or@conj som@gram_adj ,
"Gladly,"""" quod I, """"by Goddes sweete pyne!","¶“Gladly,” quod I, “by Goddes swete pine,°",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 936,,10,10,Gladly quod I by Goddes sweete pyne,Gladly quod I by Goddes swete pine,uS u S u Su Su Sx,uS u S u Su Su Sx,gladli@adv quethen@v%pt_1 ich@pron%nom bi@prep god@n1#propn%gen swete@adj pine@n1,gladli@adv quethen@v%pt_1 ich@pron%nom bi@prep god@n1#propn%gen swete@adj pine@n1,
I wol yow telle a litel thyng in prose,I wol yow telle a litel thing in prose,data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 937,,10,10,I wol yow telle a litel thyng in prose,I wol yow telle a litel thing in prose,u S u Sx u Su S u Sx,u S u Sx u Su S u Sx,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art litel@adj thing@n in@prep prose@n,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art litel@adj thing@n in@prep prose@n,
"That oghte liken yow, as I suppose","That oghte like yow,° as I suppose",data/riverside_cats/MelPro_riv.cat,data/oxford_txts/MelPro_oxford.txt,data/csvs/MelPro,07-3-ch 938,DIFF,10,10,That oghte liken yow as I suppose,That oghte like yow as I suppose,u Su Su S u S uSx,u Su Su S u S uSx,that@pron ouen@v%pt_3 liken@v1%inf you@pron%pl_obj as@conj ich@pron%nom supposen@v%pr_1,that@pron ouen@v%pt_3  you@pron%pl_obj as@conj you@pron%pl_obj supposen@v%pr_1,
