OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
Out at the dore he gooth ful pryvely,¶Out at the dore he gooth ful prively,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4057,,10,10,Out at the dore he gooth ful pryvely,Out at the dore he gooth ful prively,u S u Sx u S u SuS,u S u Sx u S u SuS,oute@adv at@prep the@def_art dore@n1 he@pron1%nom gon@v%pr_3 ful@adv privelie@adv,oute@adv at@prep the@def_art dore@n1 he@pron1%nom gon@v%pr_3 ful@adv privelie@adv,green
"Whan that he saugh his tyme, softely.","Whan that he saugh his time, softely;",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4058,,10,10,Whan that he saugh his tyme softely,Whan that he saugh his time softely,u S u S u Su SuS,u S u S u Su SuS,whan@adv&conj that@part he@pron1%nom sen@v1%pt_3 his@pron1%gen time@n softli@adv,whan@adv&conj that@part he@pron1%nom sen@v1%pt_3 his@pron1%gen time@n softli@adv,green
He looketh up and doun til he hath founde,He loketh up and doun til he hath founde,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4059,,10,10,He looketh up and doun til he hath founde,He loketh up and doun til he hath founde,u Su S u S u S u Sx,u Su S u S u S u Sx,he@pron1%nom loken@v2%pr_3 up@adv and@conj doun@adv til@conj he@pron1%nom haven@v%pr_3 finden@v%ppl,he@pron1%nom loken@v2%pr_3 up@adv and@conj doun@adv til@conj he@pron1%nom haven@v%pr_3 finden@v%ppl,green
"The clerkes hors, ther as it stood ybounde","The clerkes hors, ther as it stood ybounde",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4060,,10,10,The clerkes hors ther as it stood ybounde,The clerkes hors ther as it stood ybounde,u Su S u S u S uSx,u Su S u S u S uSx,the@def_art clerk@n%gen hors@n ther@adv as@conj hit@pron stonden@v1%pt_3 binden@v#adj%ppl,the@def_art clerk@n%gen hors@n ther@adv as@conj hit@pron stonden@v1%pt_3 binden@v#adj%ppl,green
"Bihynde the mille, under a levesel;","Bihind the mille, under a levesel;°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4061,,10,10,Bihynde the mille under a levesel,Bihind the mille under a levesel,uSx u Sx uS u SuS,uS u Sx uS u SuS,bihinde@prep the@def_art milne@n under@prep a@indef_art lefsel@n,bihinde@prep the@def_art milne@n under@prep a@indef_art lefsel@n,green
And to the hors he goth hym faire and wel;,And to the hors he gooth him faire and wel;,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4062,,10,10,And to the hors he goth hym faire and wel,And to the hors he gooth him faire and wel,u S u S u S u Sx u S,u S u S u S u Sx u S,and@conj to@prep the@def_art hors@n he@pron1%nom gon@v%pr_3 him@pron%obj faire@adv and@conj wel@adv,and@conj to@prep the@def_art hors@n he@pron1%nom gon@v%pr_3 him@pron%obj faire@adv and@conj wel@adv,green
He strepeth of the brydel right anon.,He strepeth of° the bridel right anon.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4063,,10,10,He strepeth of the brydel right anon,He strepeth of the bridel right anon,u Su S u Su S uS,u Su S u Su S uS,he@pron1%nom strepen@v%pr_3 of@adv the@def_art bridel@n righte@adv an-on@adv,he@pron1%nom strepen@v%pr_3 of@adv the@def_art bridel@n righte@adv an-on@adv,green
"And whan the hors was laus, he gynneth gon","And whan the hors was laus,° he ginneth gon°",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4064,,10,10,And whan the hors was laus he gynneth gon,And whan the hors was laus he ginneth gon,u S u S u S u Su S,u S u S u S u Su S,and@conj whan@adv&conj the@def_art hors@n ben@v%pt_3 los@adj he@pron1%nom ginnen@v%pr_3 gon@v%inf,and@conj whan@adv&conj the@def_art hors@n ben@v%pt_3 los@adj he@pron1%nom ginnen@v%pr_3 gon@v%inf,green
"Toward the fen, ther wilde mares renne","Toward the fen,° ther °wilde mares renne",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4065,,10,10,Toward the fen ther wilde mares renne,Toward the fen ther wilde mares renne,uS u S u Su Su Sx,uS u S u Su Su Sx,towarde@prep the@def_art fen@n1 ther@adv wilde@adj mere@n1%pl rennen@v1%pr_pl,towarde@prep the@def_art fen@n1 ther@adv wilde@adj mere@n1%pl rennen@v1%pr_pl,green
"And forth with """"wehee,"""" thurgh thikke and thurgh thenne.","Forth with “Wehe!,” thurgh thikke and thenne.",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4066,DIFF,10,0,And forth with wehee thurgh thikke and thurgh thenne,Forth with Wehe thurgh thikke and thenne,u S u Su S ux S u Sx,      ,forth@adv with@prep we-he@interj thurgh@prep thikke@n and@conj thinne@n,forth@adv with@prep we-he@interj thurgh@prep thikke@n and@conj thinne@n,green
"This millere gooth agayn, no word he seyde","¶This miller gooth again, no word he seide",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4067,,10,10,This millere gooth agayn no word he seyde,This miller gooth again no word he seide,u Sux S uS u S u Sx,u Su S uS u S u Sx,this@gram_adj milnere@n gon@v%pr_3 ayen@adv no@gram_adj word@n he@pron1%nom seien@v1%pt_3,this@gram_adj milnere@n gon@v%pr_3 ayen@adv no@gram_adj word@n he@pron1%nom seien@v1%pt_3,green
"But dooth his note, and with the clerkes pleyde","But dooth his note,° and with the clerkes pleide",data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4068,,10,10,But dooth his note and with the clerkes pleyde,But dooth his note and with the clerkes pleide,u S u Sx u S u Su Sx,u S u Sx u S u Su Sx,but@conj don@v1%pr_3 his@pron1%gen note@n2 and@conj with@prep the@def_art clerk@n%pl pleien@v1%pt_3,but@conj don@v1%pr_3 his@pron1%gen note@n2 and@conj with@prep the@def_art clerk@n%pl pleien@v1%pt_3,green
Til that hir corn was faire and weel ygrounde.,Til that hir corn was faire and wel ygrounde.,data/riverside_cats/RvT_riv.cat,data/oxford_txts/RvT_oxford.txt,data/csvs/RvT,The Reeve's Tale 4069,,10,10,Til that hir corn was faire and weel ygrounde,Til that hir corn was faire and wel ygrounde,u S u S u Sx u S uSx,u S u S u Sx u S uSx,til@conj that@part here@pron%pl_gen corn@n ben@v%pt_3 faire@adv and@conj wel@adv grinden@v1%ppl,til@conj that@part here@pron%pl_gen corn@n ben@v%pt_3 faire@adv and@conj wel@adv grinden@v1%ppl,green
