Headword,Tag,Ending,Count,Percent
seien,v%inf,sey,32,11.81%
seien,v%inf,seyne,24,8.86%
seien,v%inf,sayn,11,4.06%
seien,v%inf,saye,3,1.11%
seien,v%inf,say,4,1.48%
seien,v%inf,sein,3,1.11%
seien,v%inf,seie,2,0.74%
seien,v%inf,seyen,2,0.74%
seien,v%pt_3,seid,44,13.37%
seien,v%pt_3,seide,265,80.55%
seien,v%pt_3,no,1,0.30%
seien,v%pt_3,sayde,1,0.30%
seien,v%pt_3,saide,13,3.95%
seien,v%pt_3,he,1,0.30%
seien,v%pt_3,said,4,1.22%
seien,v%pr_1,sey,29,46.03%
seien,v%pr_1,seye,29,46.03%
seien,v%pr_1,say,2,3.17%
seien,v%pr_1,saye,1,1.59%
seien,v%pr_1,for,1,1.59%
seien,v%pr_1,nat,1,1.59%
seien,v%pr_3,seith,54,90.00%
seien,v%pr_3,seye,1,1.67%
seien,v%pr_3,saith,2,3.33%
seien,v%pr_3,sey,2,3.33%
seien,v%pr_3,sayes,1,1.67%
seien,v%pt_pl,seide,11,36.67%
seien,v%pt_pl,seiden,16,53.33%
seien,v%pt_pl,seid,1,3.33%
seien,v%pt_pl,saide,1,3.33%
seien,v%pt_pl,so,1,3.33%
seien,v%ppl,seid,37,84.09%
seien,v%ppl,said,4,9.09%
seien,v%ppl,saide,1,2.27%
seien,v%ppl,seide,2,4.55%
seien,v%pr_pl,sey,13,27.08%
seien,v%pr_pl,seye,3,6.25%
seien,v%pr_pl,seyn,27,56.25%
seien,v%pr_pl,sayne,1,2.08%
seien,v%pr_pl,ye,1,2.08%
seien,v%pr_pl,sayn,1,2.08%
seien,v%pr_pl,seiden,1,2.08%
seien,v%pr_pl,seith,1,2.08%
seien,v%imp,sey,15,78.95%
seien,v%imp,say,2,10.53%
seien,v%imp,seyeth,1,5.26%
seien,v%imp,seith,1,5.26%
seien,v%pt_1,seide,11,84.62%
seien,v%pt_1,seid,1,7.69%
seien,v%pt_1,saide,1,7.69%
seien,v%pr_2,seyst,13,86.67%
seien,v%pr_2,seist,1,6.67%
seien,v%pr_2,seye,1,6.67%
seien,v%pr_2_pron,seistow,2,22.22%
seien,v%pr_2_pron,seystow,6,66.67%
seien,v%pr_2_pron,seystou,1,11.11%
seien,v%pt_2_pron,seidestow,3,100.00%
seien,v%pt_2,seidest,2,100.00%
reden,v%inf,rede,23,88.46%
reden,v%inf,reden,3,11.54%
reden,v%pr_pl,rede,8,88.89%
