OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
"But trusteth wel, I am a Southren man;","But trusteth wel, I am a southren man",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 42,,10,10,But trusteth wel I am a Southren man,But trusteth wel I am a southren man,u Su S u S u Su S,u Su S u S u Su S,but@conj trusten@v%imp wel@adv ich@pron%nom ben@v%pr_1 a@indef_art southerne@adj man@n,but@conj trusten@v%imp wel@adv ich@pron%nom ben@v%pr_1 a@indef_art southerne@adj man@n,
"I kan nat geeste `rum, ram, ruf,' by lettre","I can nat geste° rum, ram, ruf° by lettre",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 43,,10,10,I kan nat geeste rum ram ruf by lettre,I can nat geste rum ram ruf by lettre,u S u Su S u S u Sx,u S u Su S u S u Sx,ich@pron%nom connen@v%pr_1 not@adv gesten@v2%inf rom@n#nonsense ram@n#nonsense ruf@n2#nonsense bi@prep lettre@n,ich@pron%nom connen@v%pr_1 not@adv gesten@v2%inf rom@n#nonsense ram@n#nonsense ruf@n2#nonsense bi@prep lettre@n,
"Ne, God woot, rym holde I but litel bettre;","Ne, God wot,° rim° holde° I but litel bettre;",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 44,,10,10,Ne God woot rym holde I but litel bettre,Ne God wot rim holde I but litel bettre,u S u S ux S u Su Sx,u S u S ux S u Su Sx,ne@conj1 god@n1#propn witen@v1%pr_3 rime@n3 holden@v1%pr_1 ich@pron%nom but@conj litel@adv bettre@adj%comp,ne@conj1 god@n1#propn witen@v1%pr_3 rime@n3 holden@v1%pr_1 ich@pron%nom but@conj litel@adv bettre@adj%comp,
"And therfore, if yow list -- I wol nat glose --","And therfor, if yow list, I wol nat glose.°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 45,,10,10,And therfore if yow list I wol nat glose,And therfor if yow list I wol nat glose,u Sux S u S u S u Sx,u Su S u S u S u Sx,and@conj ther-fore@adv if@conj you@pron%pl_obj listen@v1%pr_3 --@dash ich@pron%nom willen@v%pr_1 not@adv glosen@v%inf --@dash,and@conj ther-fore@adv if@conj you@pron%pl_obj listen@v1%pr_3 --@dash ich@pron%nom willen@v%pr_1 not@adv glosen@v%inf --@dash,
I wol yow telle a myrie tale in prose,I wol yow telle a mery° tale in prose,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 46,,10,10,I wol yow telle a myrie tale in prose,I wol yow telle a mery tale in prose,u S u Sx u Su Sx u Sx,u S u Sx u Su Sx u Sx,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art mirie@adj tale@n in@prep prose@n,ich@pron%nom willen@v%pr_1 you@pron%pl_obj tellen@v%inf a@indef_art mirie@adj tale@n in@prep prose@n,
To knytte up al this feeste and make an ende.,"To knitte up al this feeste,° and make an ende.",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 47,,10,10,To knytte up al this feeste and make an ende,To knitte up al this feeste and make an ende,u Sx u S u Sx u Sx u Sx,u Sx u S u Sx u Sx u Sx,to@part knitten@v%inf up@adv al@gram_adj this@gram_adj feste@n and@conj maken@v1%inf a@indef_art ende@n1,to@part knitten@v%inf up@adv al@gram_adj this@gram_adj feste@n and@conj maken@v1%inf a@indef_art ende@n1,
"And Jhesu, for his grace, wit me sende","And Jesu, for° his grace, wit° me sende",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 48,DIFF,10,10,And Jhesu for his grace wit me sende,And Jesu for his grace wit me sende,u Su S u Su S u Sx,u Su S u Su S u Sx,and@conj jesu@n1#propn for@prep his@pron1%gen grace@n wit@n me@pron2%obj senden@v2%pr_3,and@conj jesu@n1#propn for@prep his@pron1%gen grace@n wit@n me@pron2%obj senden@v2%pr_3,green
"To shewe yow the wey, in this viage","To shewe yow the wey, in this viage,°",data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 49,,10,10,To shewe yow the wey in this viage,To shewe yow the wey in this viage,u Su S u S u S uSx,u Su S u S u S uSx,to@part sheuen@v1%inf you@pron%pl_obj the@def_art wei@n in@prep this@gram_adj viage@n,to@part sheuen@v1%inf you@pron%pl_obj the@def_art wei@n in@prep this@gram_adj viage@n,
Of thilke parfit glorious pilgrymage,Of thilke° parfit glorious pilgrimage,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 50,,10,10,Of thilke parfit glorious pilgrymage,Of thilke parfit glorious pilgrimage,u Sx uS uSu SuSx,u Sx uS uSu SuSx,of@prep thilke@gram_adj parfit@adj glorious@adj pilgrimage@n,of@prep thilke@gram_adj parfit@adj glorious@adj pilgrimage@n,
That highte Jerusalem celestial.,That hight° Jerusalem celestial.,data/riverside_cats/ParsPro_riverside_reordered.cat,data/oxford_txts/ParsPro_oxford.txt,data/csvs/ParsPro_reordered,Prologue to the Parson's Tale 51,,10,10,That highte Jerusalem celestial,That hight Jerusalem celestial,u Sx uSuS uSuS,u S uSuS uSuS,that@pron hoten@v1%pt_3 jerusalem@n#propn celestial@adj,that@pron hoten@v1%pt_3 jerusalem@n#propn celestial@adj,
