headword,infinitive,preterite,past_participle,classification,notes
recchen,recchen,"roughte(9), roghte(4), rouhte(1), rought(1)",,weak,"Program failed here, pretty sure its weak"
receiven,receiven,received(2),"received(8), resceived(1)",weak,classified by morphological evidence
rechasen,rechasen,,rechased(1),weak,classified by morphological evidence (check!)
rechen,rechen,"raughte(5), reighte(1)",,strong,"Program failed here, pretty sure its weak"
recoveren,recoveren,,recovered(6),weak,classified by morphological evidence (check!)
reden,reden,"redde(5), radde(4)","red(8), rad(5), redde(2)",weak,Seams weak
redressen,redressen,redressed(1),,weak,classified by computer (CHECK)
refreshen,refreshen,refresshed(1),refresshed(3),weak,classified by morphological evidence
regnen,regnen,regned(2),,weak,classified by morphological evidence
rehersen,rehersen,,rehersed(1),weak,classified by computer (CHECK)
reinen,reinen,"ron(2), reined(1)",,strong,I think this is vacation of Rin which is in seats list
reisen,reisen,,reised(4),weak,classified by morphological evidence (check!)
rejoisen,rejoisen,rejoised(1),,weak,classified by morphological evidence
reken,reken,,yreke(1),strong,classified by computer (CHECK)
rekenen,rekenen,,yrekened(2),weak,classified by morphological evidence
relesen,relesen,relessed(1),,weak,classified by morphological evidence (check!)
releven,releven,,releved(3),weak,classified by morphological evidence
remembren,remembren,remembred(4),remembred(1),weak,classified by morphological evidence
remuen,remuen,,remewed(1),weak,classified by computer (CHECK)
renden,renden,"rente(9), she(1)","rent(3), yrent(2)",weak,classified by morphological evidence (check!)
reneien,reneien,,"reneyed(1), reneied(1)",weak,classified by computer (CHECK)
rennen,rennen,ran(23),ronne(3),strong,known strong verb (check!)
repairen,repairen,,repaired(1),weak,classified by computer (CHECK)
repelen,repelen,,repeled(2),weak,classified by computer (CHECK)
repen,repen,,ropen(1),strong,classified by computer (CHECK)
repenten,repenten,repented(1),,weak,classified by morphological evidence
reporten,reporten,,reported(2),weak,classified by computer (CHECK)
repressen,repressen,,repressed(2),weak,classified by morphological evidence
requeren,requeren,required(1),requered(2),weak,classified by morphological evidence
rescouen,rescouen,rescowed(1),,weak,classified by computer (CHECK)
reserven,reserven,,reserved(1),weak,classified by computer (CHECK)
resounen,resounen,resouned(1),,weak,classified by morphological evidence (check!)
resten,resten,rested(1),rested(1),weak,classified by morphological evidence (check!)
restoren,restoren,restored(3),,weak,classified by morphological evidence
returnen,returnen,,retorned(1),weak,classified by morphological evidence
reuen,reuen,rewed(1),rewed(1),weak,classified by morphological evidence (check!)
reulen,reulen,,"ruled(2), reuled(1)",weak,classified by morphological evidence
reven,reven,"rafte(4), refte(4), raft(1)","reft(3), raft(2), yraft(1)",strong,In list as riven
riden,riden,rood(23),riden(7),strong,known strong verb
ringen,ringen,"rong(6), ronge(1)","ronge(2), yronge(1)",strong,known strong verb
risen,risen,roos(24),risen(4),strong,known strong verb
riven,riven,roof(3),,strong,known strong verb
rollen,rollen,rolled(1),rolled(1),weak,classified by morphological evidence (check!)
romen,romen,romed(4),romed(3),weak,classified by morphological evidence
roren,roren,rored(1),,weak,classified by computer (CHECK)
rosten,rosten,rosted(1),,weak,classified by morphological evidence
rouen,rouen,,rowed(1),weak,classified by computer (CHECK)
rounden,rounden,rounded(1),,weak,classified by morphological evidence
rounen,rounen,"rouned(3), rowned(1)","rouned(2), yrouned(1)",weak,classified by morphological evidence
rumbelen,rumbelen,rombled(2),,weak,classified by morphological evidence
rusen,rusen,rused(1),,weak,classified by morphological evidence
sakken,sakken,,sakked(1),weak,classified by morphological evidence
saluen,saluen,,salewed(1),weak,classified by morphological evidence
saven,saven,saved(7),saved(7),weak,classified by morphological evidence
scalden,scalden,,scalded(1),weak,classified by morphological evidence
scapen,scapen,,scaped(2),weak,classified by computer (CHECK)
scateren,scateren,,scatered(1),weak,classified by morphological evidence
scornen,scornen,scorned(3),,weak,classified by morphological evidence
