OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
He nedes moot unto the pley assente.,He nedes moot° unto the pley assente.,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 11,,10,10,He nedes moot unto the pley assente,He nedes moot unto the pley assente,u Su S uS u S uSx,u Su S uS u S uSx,he@pron1%nom nedes@adv moten@v2%pr_3 unto@prep the@def_art pleie@n assenten@v%inf,he@pron1%nom nedes@adv moten@v2%pr_3 unto@prep the@def_art pleie@n assenten@v%inf,
"But precheth nat, as freres doon in Lente","But precheth nat, as freres doon in Lente",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 12,,10,10,But precheth nat as freres doon in Lente,But precheth nat as freres doon in Lente,u Su S u Su S u Sx,u Su S u Su S u Sx,but@conj prechen@v%imp not@adv as@conj frere@n%pl don@v1%pr_pl in@prep lenten@n,but@conj prechen@v%imp not@adv as@conj frere@n%pl don@v1%pr_pl in@prep lenten@n,
To make us for oure olde synnes wepe,To make us for our olde sinnes wepe,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 13,,10,10,To make us for oure olde synnes wepe,To make us for our olde sinnes wepe,u Sx u S ux Su Su Sx,u Sx u S u Su Su Sx,to@part maken@v1%inf us@pron%pl_obj for@prep oure@pron%pl_gen olde@adj sinne@n%pl wepen@v%inf,to@part maken@v1%inf us@pron%pl_obj for@prep oure@pron%pl_gen olde@adj sinne@n%pl wepen@v%inf,
Ne that thy tale make us nat to slepe.,Ne that thy tale make us nat to slepe.,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 14,,10,10,Ne that thy tale make us nat to slepe,Ne that thy tale make us nat to slepe,u S u Su Sx u S u Sx,u S u Su Sx u S u Sx,ne@conj1 that@conj thin@pron%gen tale@n maken@v1%pr_3 us@pron%pl_obj not@adv to@part slepen@v%inf,ne@conj1 that@conj thin@pron%gen tale@n maken@v1%pr_3 us@pron%pl_obj not@adv to@part slepen@v%inf,
Telle us som murie thyng of aventures.,Telle us som mery thing of aventures;—,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 15,,10,10,Telle us som murie thyng of aventures,Telle us som mery thing of aventures,ux S u Su S u SuSx,ux S u Su S u SuSx,tellen@v%imp us@pron%pl_obj som@gram_adj mirie@adj thing@n of@prep aventure@n%pl,tellen@v%imp us@pron%pl_obj som@gram_adj mirie@adj thing@n of@prep aventure@n%pl,
"Youre termes, youre colours, and youre figures","Your termes,° your colours, and your figures,°",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 16,,10,10,Youre termes youre colours and youre figures,Your termes your colours and your figures,ux Su Sx uS u Sx uSx,u Su S uS u S uSx,your@pron%pl_gen terme@n%pl your@pron%pl_gen colour@n%pl and@conj your@pron%pl_gen figure@n%pl,your@pron%pl_gen terme@n%pl your@pron%pl_gen colour@n%pl and@conj your@pron%pl_gen figure@n%pl,
Keepe hem in stoor til so be ye endite,Kepe hem in stoor° til so be ye endite,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 17,,10,10,Keepe hem in stoor til so be ye endite,Kepe hem in stoor til so be ye endite,ux S u S u S u S uSx,ux S u S u S u S uSx,kepen@v%imp hem@pron%pl_obj in@prep store@n1 til@conj so@adv ben@v%pr_3 ye@pron%pl_nom enditen@v%pr_pl,kepen@v%imp hem@pron%pl_obj in@prep store@n1 til@conj so@adv ben@v%pr_3 ye@pron%pl_nom enditen@v%pr_pl,
"Heigh style, as whan that men to kynges write.","Heigh style, as whan that men to kinges write.",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 18,,10,10,Heigh style as whan that men to kynges write,Heigh style as whan that men to kinges write,u Sx u S u S u Su Sx,u Sx u S u S u Su Sx,heigh@adj stile@n2 as@conj whan@adv&conj that@part man@n%pl to@prep king@n%pl writen@v%pr_pl,heigh@adj stile@n2 as@conj whan@adv&conj that@part man@n%pl to@prep king@n%pl writen@v%pr_pl,
"Speketh so pleyn at this tyme, we yow preye","Speketh so plein at this time, we yow preye",data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 19,,10,10,Speketh so pleyn at this tyme we yow preye,Speketh so plein at this time we yow preye,uS u S u S ux S u S,uS u S u S ux S u S,speken@v%imp so@adv plaine@adv at@prep this@gram_adj time@n we@pron%pl_nom you@pron%pl_obj preien@v1%pr_pl,speken@v%imp so@adv plaine@adv at@prep this@gram_adj time@n we@pron%pl_nom you@pron%pl_obj preien@v1%pr_pl,
That we may understonde what ye seye.,That we may understonde what ye seye.”,data/riverside_cats/ClPro_riv.cat,data/oxford_txts/ClPro_oxford.txt,data/csvs/ClPro,The Clerk's Prologue 20,,10,10,That we may understonde what ye seye,That we may understonde what ye seye,u S u SuSu S u S,u S u SuSu S u S,that@conj we@pron%pl_nom mouen@v3%pr_pl understonden@v%inf what@pron ye@pron%pl_nom seien@v1%pr_pl,that@conj we@pron%pl_nom mouen@v3%pr_pl understonden@v%inf what@pron ye@pron%pl_nom seien@v1%pr_pl,
