OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
We han noon oother melodye or glee,We han° non other melodie or glee°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 100,,0,10,We han noon oother melodye or glee,We han non other melodie or glee,"      ",u S u Su SuS u S,we@pron%pl_nom haven@v%pr_pl non@gram_adj other@gram_adj melodie@n or@conj gle@n1,we@pron%pl_nom haven@v%pr_pl non@gram_adj other@gram_adj melodie@n or@conj gle@n1,
Us to rejoyse in oure adversitee,Us to rejoise° in oure adversitee,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 101,,10,10,Us to rejoyse in oure adversitee,Us to rejoise in oure adversitee,u S uSx u Sx uSuS,u S uSx u Sx uSuS,us@pron%pl_obj to@prep rejoisen@v%inf in@prep oure@pron%pl_gen adversite@n,us@pron%pl_obj to@prep rejoisen@v%inf in@prep oure@pron%pl_gen adversite@n,
Ne advocat noon that wole and dar so preye,Ne° advocat that wol° and dar so preye°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 102,DIFF,0,10,Ne advocat noon that wole and dar so preye,Ne advocat that wol and dar so preye,"        ",u SuS u S u S u S,ne@conj1 advocat@n non@gram_adj that@pron willen@v%pr_3 and@conj durren@v%pr_3 so@adv preien@v1%inf,ne@conj1 advocat@n that@pron willen@v%pr_3 and@conj durren@v%pr_3 so@adv preien@v1%inf,green
"For us, and that for litel hire as yee","For us, and that for litel hire° as ye",data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 103,,10,10,For us and that for litel hire as yee,For us and that for litel hire as ye,u S u S u Su Sx u S,u S u S u Su Sx u S,for@prep us@pron%pl_obj and@conj that@pron for@prep litel@n hire@n as@conj ye@pron%pl_nom,for@prep us@pron%pl_obj and@conj that@pron for@prep litel@n hire@n as@conj ye@pron%pl_nom,
That helpen for an Ave-Marie or tweye.,That helpen for° an Ave Marie or tweye.°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 104,DIFF,10,10,That helpen for an AveMarie or tweye,That helpen for an Ave Marie or tweye,u Sx u S uSuS u S,u Su S u Sx uS u S,that@pron helpen@v%pr_pl for@prep a@indef_art ave_marie@n or@conj twein@num_adj,that@pron helpen@v%pr_pl for@prep a@indef_art ave@interj marie@n1#propn or@conj twein@num_adj,green
O verrey light of eyen that ben blynde,O verrey° light of eyen° that ben blinde,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 105,,10,10,O verrey light of eyen that ben blynde,O verrey light of eyen that ben blinde,u Su S u Su S u Sx,u Su S u Su S u Sx,o@interj verrei@adj light@n of@prep eie@n1%pl that@pron ben@v%pr_pl blind@adj,o@interj verrei@adj light@n of@prep eie@n1%pl that@pron ben@v%pr_pl blind@adj,
O verrey lust of labour and distresse,O verrey lust° of labour° and distresse,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 106,,10,10,O verrey lust of labour and distresse,O verrey lust of labour and distresse,u Su S u Su S uSx,u Su S u Su S uSx,o@interj verrei@adj lust@n of@prep labour@n and@conj distresse@n,o@interj verrei@adj lust@n of@prep labour@n and@conj distresse@n,
O tresoreere of bountee to mankynde,O tresorere° of bountee to mankinde,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 107,,10,10,O tresoreere of bountee to mankynde,O tresorere of bountee to mankinde,u SuSx u Su S uSx,u SuSx u Su S uSx,o@interj tresourere@n of@prep bounte@n to@prep man-kinde@n,o@interj tresourere@n of@prep bounte@n to@prep man-kinde@n,
Thee whom God ches to mooder for humblesse!,Thee whom God chees to° moder for humblesse!°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 108,,10,10,Thee whom God ches to mooder for humblesse,Thee whom God chees to moder for humblesse,u S u S u Su S uSx,u S u S u Su S uSx,the@pron2%obj whom@pron%obj god@n1#propn chesen@v%pt_3 to@prep moder@n for@prep humblesse@n,the@pron2%obj whom@pron%obj god@n1#propn chesen@v%pt_3 to@prep moder@n for@prep humblesse@n,
From his ancille he made the maistresse,From his ancille° he made thee maistresse°,data/riverside_cats/ABC_riv.cat,data/oxford_txts/ABC_oxford.txt,data/csvs/ABC,ABC 109,,10,10,From his ancille he made the maistresse,From his ancille he made thee maistresse,u S uSx u Su S uSx,u S uSx u Su S uSx,from@prep his@pron1%gen ancille@n he@pron1%nom maken@v1%pt_3 the@pron2%obj maistresse@n,from@prep his@pron1%gen ancille@n he@pron1%nom maken@v1%pt_3 the@pron2%obj maistresse@n,
