headword,strong_forms,weak_forms,unclear_forms,strong_count,weak_count,unclear_count,classification
confermen,,confermed(1),,0,1,0,weak
confounden,,confounded(1),,0,1,0,weak
consecraten,,consecrat(1),,0,1,0,weak
conserven,,conserved(2),,0,2,0,weak
consideren,,considered(5),,0,5,0,weak
constreinen,,constreined(4),,0,4,0,weak
converten,,converted(2),,0,2,0,weak
correcten,,corrected(2),,0,2,0,weak
corrupten,,corrupt(1),,0,1,0,weak
couchen,,couched(3),,0,3,0,weak
crasen,,crased(1),,0,1,0,weak
creauncen,,creaunced(1),,0,1,0,weak
crien,,cried(5),,0,5,0,weak
dampnen,,dampned(8),,0,8,0,weak
daswen,,daswed(1),,0,1,0,weak
dauen,,dawed(1),,0,1,0,weak
deceiven,,deceived(6),,0,6,0,weak
declaren,,declared(2),,0,2,0,weak
defacen,,defaced(1),,0,1,0,weak
defoulen,,defouled(4),,0,4,0,weak
deien,,diyd(1),,0,1,0,weak
delen,,deled(1),,0,1,0,weak
deliberen,,delibered(1),,0,1,0,weak
deliveren,,delivered(2),,0,2,0,weak
demen,,demed(1),,0,1,0,weak
departen,,departed(11),,0,11,0,weak
depeinten,,depeinted(5); depeint(1),,0,6,0,weak
deriven,,derived(1),,0,1,0,weak
descenden,,descended(3),,0,3,0,weak
descriven,,discrived(1),,0,1,0,weak
deserven,,deserved(10),,0,10,0,weak
despeiren,,despeired(4),,0,4,0,weak
destroien,,destroyed(7),,0,7,0,weak
devouren,,devoured(1),,0,1,0,weak
dighten,,dight(4); ydight(1),,0,5,0,weak
discoveren,,discovered(1),,0,1,0,weak
discussen,,discussed(1),,0,1,0,weak
disesen,,disesed(1),,0,1,0,weak
disfiguren,,disfigured(2),,0,2,0,weak
disgisen,,disgised(1),,0,1,0,weak
disparagen,,disparaged(1),,0,1,0,weak
dispenden,,despended(3),,0,3,0,weak
displesen,,displesed(1),,0,1,0,weak
disposen,,disposed(4),,0,4,0,weak
distroublen,,destroubled(1),,0,1,0,weak
dividen,,divided(1),,0,1,0,weak
dokken,,dokked(1),,0,1,0,weak
drecchen,,drecched(1),,0,1,0,weak
dressen,,ydressed(1); dressed(3),,0,4,0,weak
dwellen,,dwelt(2); dwelled(2),,0,4,0,weak
eken,,eched(1),,0,1,0,weak
embosen,,embosed(1),,0,1,0,weak
embrouden,,embrouded(1),,0,1,0,weak
empoisounen,,empoisoned(1),,0,1,0,weak
emprenten,,emprented(2); enprented(1),,0,3,0,weak
enchaunten,,enchanted(1),,0,1,0,weak
enclinen,,enclined(3),,0,3,0,weak
enclosen,,enclosed(2),,0,2,0,weak
encombren,,encombred(1),,0,1,0,weak
encresen,,encressed(2),,0,2,0,weak
enden,,ended(3),,0,3,0,weak
enduren,,endured(2),,0,2,0,weak
enfourmen,,enformed(1),,0,1,0,weak
engendren,,engendred(3),,0,3,0,weak
enginen,,engined(1),,0,1,0,weak
enhabiten,,enhabit(1),,0,1,0,weak
enhauncen,,enhaunced(1),,0,1,0,weak
enointen,,anoint(1),,0,1,0,weak
enselen,,enseled(1),,0,1,0,weak
enterchaungen,,entrechaunged(1),,0,1,0,weak
entren,,entred(2),,0,2,0,weak
envenimen,,envenimed(1),,0,1,0,weak
envolupen,,envoluped(1),,0,1,0,weak
escapen,,escaped(1),,0,1,0,weak
escheuen,,eschewed(1),,0,1,0,weak
esen,,esed(5),,0,5,0,weak
excusen,,excused(2),,0,2,0,weak
executen,,execut(1),,0,1,0,weak
expressen,,expressed(1),,0,1,0,weak
falsen,,falsed(2),,0,2,0,weak
farsen,,farsed(1),,0,1,0,weak
feden,,fed(1),,0,1,0,weak
feffen,,feffed(1),,0,1,0,weak
feinen,,yfeined(1); feined(3),,0,4,0,weak
fellen,,feld(1),,0,1,0,weak
feteren,,fetered(1),,0,1,0,weak
fetten,,yfet(2); fet(4),,0,6,0,weak
fillen,,filled(1),,0,1,0,weak
fishen,,fisshed(1),,0,1,0,weak
folwen,,yfolowed(1),,0,1,0,weak
formen,,yformed(3); formed(1),,0,4,0,weak
forwrappen,,forwrapped(1),,0,1,0,weak
fostren,,yfostred(2); fostred(5),,0,7,0,weak
frainen,,freined(1),,0,1,0,weak
ful-fillen,,fulfild(4); fulfilled(1),,0,5,0,weak
glasen,,yglased(1),,0,1,0,weak
governen,,governed(1),,0,1,0,weak
graunten,,graunted(8); ygraunted(1),,0,9,0,weak
grounden,,grounded(1),,0,1,0,weak
halouen,,yhalowed(1),,0,1,0,weak
halwen,,halwed(1),,0,1,0,weak
hamelen,,hameled(1),,0,1,0,weak
harden,,yharded(1),,0,1,0,weak
harmen,,harmed(1),,0,1,0,weak
haten,,yhated(1),,0,1,0,weak
helmen,,helmed(2),,0,2,0,weak
henten,,hent(6),,0,6,0,weak
herkenen,,herkned(1),,0,1,0,weak
hiden,,hid(8); yhid(1),,0,9,0,weak
hien,,hyed(1),,0,1,0,weak
hiren,,hired(1),,0,1,0,weak
hongen,,hanged(4),,0,4,0,weak
honouren,,honoured(7),,0,7,0,weak
hunten,,hunted(2),,0,2,0,weak
hurten,,hurt(8); yhurt(1),,0,9,0,weak
ibringen,,ybrought(6); ybroght(6),,0,12,0,weak
ihenten,,yhent(2),,0,2,0,weak
ikissen,,ykist(1),,0,1,0,weak
iknitten,,yknet(1),,0,1,0,weak
ileden,,ylad(1),,0,1,0,weak
ileien,,yleid(3),,0,3,0,weak
