file,ger_compliance_pct,ger_following,ger_violating,overall_compliance_pct,total_following,total_lines,total_violating,v%inf_compliance_pct,v%inf_following,v%inf_violating,v%ppl_compliance_pct,v%ppl_following,v%ppl_violating,v%pr_1_compliance_pct,v%pr_1_following,v%pr_1_violating,v%pr_2_compliance_pct,v%pr_2_following,v%pr_2_violating,v%pr_3_compliance_pct,v%pr_3_following,v%pr_3_violating,v%pr_pl_compliance_pct,v%pr_pl_following,v%pr_pl_violating,v%pt_1_compliance_pct,v%pt_1_following,v%pt_1_violating,v%pt_2_compliance_pct,v%pt_2_following,v%pt_2_violating,v%pt_3_compliance_pct,v%pt_3_following,v%pt_3_violating,v%pt_compliance_pct,v%pt_following,v%pt_pl_compliance_pct,v%pt_pl_following,v%pt_pl_violating,v%pt_violating
PrT_gui_complete.csv,75.0,3,1,94.95,207,203,11,98.04,50,1,100.0,24,0,100.0,10,0,100.0,1,0,100.0,33,0,64.29,9,5,100.0,1,0,0.0,0,0,100.0,70,0,0.0,0,60.0,6,4,0
WBPro_gui_complete.csv,9.09,1,10,92.86,885,856,68,87.84,195,27,100.0,90,0,100.0,76,0,100.0,13,0,100.0,179,0,62.5,35,21,100.0,82,0,100.0,3,0,100.0,190,0,0.0,0,67.74,21,10,0
MLPro_gui_complete.csv,50.0,1,1,97.53,79,98,2,92.31,12,1,100.0,7,0,100.0,7,0,0.0,0,0,100.0,27,0,100.0,6,0,0.0,0,0,0.0,0,0,100.0,19,0,0.0,0,0.0,0,0,0
SNT_gui_complete.csv,55.56,5,4,93.46,400,434,28,92.47,86,7,100.0,37,0,100.0,27,0,100.0,14,0,100.0,56,0,53.33,16,14,100.0,5,0,100.0,4,0,100.0,135,0,0.0,0,83.33,15,3,0
SqT_gui_complete.csv,0.0,0,11,94.66,638,664,36,92.14,129,11,100.0,64,0,100.0,39,0,100.0,3,0,100.0,137,0,81.36,48,11,100.0,15,0,0.0,0,0,100.0,197,0,0.0,0,66.67,6,3,0
TC3_gui_complete.csv,47.06,8,9,96.5,1873,1820,68,95.62,524,24,100.0,142,0,100.0,156,0,100.0,30,0,100.0,301,0,75.0,99,33,100.0,38,0,100.0,8,0,100.0,518,0,0.0,0,96.08,49,2,0
MerT_gui_complete.csv,37.5,3,5,95.39,1160,1174,56,91.39,276,26,100.0,129,0,100.0,96,0,100.0,14,0,100.0,293,0,77.78,63,18,100.0,22,0,100.0,1,0,100.0,249,0,0.0,0,66.67,14,7,0
RvPro_gui_complete.csv,0.0,0,2,93.41,85,66,6,94.74,18,1,100.0,10,0,100.0,8,0,0.0,0,0,100.0,28,0,57.14,4,3,100.0,2,0,0.0,0,0,100.0,14,0,0.0,0,100.0,1,0,0
Thop_gui_complete.csv,83.33,5,1,97.93,142,207,3,96.67,29,1,100.0,6,0,100.0,12,0,100.0,1,0,100.0,25,0,83.33,5,1,0.0,0,0,0.0,0,0,100.0,55,0,0.0,0,100.0,4,0,0
MkT_reordered_complete.csv,0.0,0,8,97.51,667,688,17,96.91,157,5,100.0,62,0,100.0,13,0,100.0,8,0,100.0,62,0,92.86,13,1,100.0,2,0,100.0,2,0,100.0,329,0,0.0,0,86.36,19,3,0
FranT_gui_complete.csv,11.11,1,8,92.04,879,896,76,89.47,204,24,100.0,109,0,100.0,57,0,100.0,7,0,100.0,147,0,57.14,40,30,100.0,15,0,100.0,4,0,100.0,265,0,0.0,0,68.18,30,14,0
TC4_gui_complete.csv,56.41,22,17,95.62,1701,1701,78,94.16,548,34,100.0,153,0,100.0,132,0,100.0,33,0,100.0,322,0,80.83,97,23,100.0,26,0,100.0,5,0,100.0,313,0,0.0,0,92.59,50,4,0
