Source_File,Tag,Ending,Count,Percent
MerPro_gui_complete.csv,v%pr_3,-eth,1,14.29%
MerPro_gui_complete.csv,v%pr_3,other,4,57.14%
MerPro_gui_complete.csv,v%pr_3,-de,1,14.29%
MerPro_gui_complete.csv,v%pt_1,-de,1,50.00%
MerPro_gui_complete.csv,v%pt_1,-d,1,50.00%
MerPro_gui_complete.csv,v#adj%ppl,-ed,1,100.00%
MerPro_gui_complete.csv,v%imp,-e,1,100.00%
MerPro_gui_complete.csv,v%inf,-en,1,50.00%
MerPro_gui_complete.csv,v%inf,-e,1,50.00%
LGW_gui_complete.csv,v%pt_3,other,186,40.88%
LGW_gui_complete.csv,v%pt_3,-d,64,14.07%
LGW_gui_complete.csv,v%pt_3,-t,15,3.30%
LGW_gui_complete.csv,v%pt_3,-te,50,10.99%
LGW_gui_complete.csv,v%pt_3,-ede,2,0.44%
LGW_gui_complete.csv,v%pt_3,-e,16,3.52%
LGW_gui_complete.csv,v%pt_3,-ed,27,5.93%
LGW_gui_complete.csv,v%pt_3,-et,9,1.98%
LGW_gui_complete.csv,v%pt_3,-n,29,6.37%
LGW_gui_complete.csv,v%pt_3,-de,57,12.53%
LGW_gui_complete.csv,v%inf,-en,68,32.38%
LGW_gui_complete.csv,v%inf,-e,94,44.76%
LGW_gui_complete.csv,v%inf,vowel,10,4.76%
LGW_gui_complete.csv,v%inf,-n,22,10.48%
LGW_gui_complete.csv,v%inf,other,3,1.43%
LGW_gui_complete.csv,v%inf,-te,11,5.24%
LGW_gui_complete.csv,v%inf,-ede,2,0.95%
LGW_gui_complete.csv,v%pr_3,other,295,65.12%
LGW_gui_complete.csv,v%pr_3,-eth,93,20.53%
LGW_gui_complete.csv,v%pr_3,-t,16,3.53%
LGW_gui_complete.csv,v%pr_3,-e,31,6.84%
LGW_gui_complete.csv,v%pr_3,-n,7,1.55%
LGW_gui_complete.csv,v%pr_3,-te,6,1.32%
LGW_gui_complete.csv,v%pr_3,-ede,1,0.22%
LGW_gui_complete.csv,v%pr_3,vowel,2,0.44%
