headword,successes,failures,total,failure_rate,high_failure
biwailen,3,0,3,0.0,NO
treten,6,0,6,0.0,NO
sufferen,6,0,6,0.0,NO
glosen,4,0,4,0.0,NO
stelen,5,0,5,0.0,NO
allien,4,0,4,0.0,NO
sparen,7,0,7,0.0,NO
missen,5,0,5,0.0,NO
biden,5,0,5,0.0,NO
werreien,3,0,3,0.0,NO
fighten,8,0,8,0.0,NO
recorden,3,0,3,0.0,NO
rekenen,3,0,3,0.0,NO
springen,10,0,10,0.0,NO
henten,4,0,4,0.0,NO
shenden,5,0,5,0.0,NO
accorden,3,0,3,0.0,NO
breiden,3,0,3,0.0,NO
twinnen,6,0,6,0.0,NO
brouken,3,0,3,0.0,NO
sorwen,4,0,4,0.0,NO
expounen,3,0,3,0.0,NO
asswagen,3,0,3,0.0,NO
bien,4,0,4,0.0,NO
