Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,v%pt_1,irregular,-te,2,66.67%
ShipT_gui_complete.csv,v%pt_1,strong,other,2,66.67%
ShipT_gui_complete.csv,v%pt_1,strong,-e,1,33.33%
ShipT_gui_complete.csv,v%pt_1,weak,-te,1,50.00%
ShipT_gui_complete.csv,v%pt_1,weak,-de,1,50.00%
ShipT_gui_complete.csv,v%pt_3,irregular,-te,4,25.00%
ShipT_gui_complete.csv,v%pt_3,irregular,-de,11,68.75%
ShipT_gui_complete.csv,v%pt_3,irregular,-d,1,6.25%
ShipT_gui_complete.csv,v%pt_3,strong,other,41,62.12%
ShipT_gui_complete.csv,v%pt_3,strong,-t,1,1.52%
ShipT_gui_complete.csv,v%pt_3,strong,-d,19,28.79%
ShipT_gui_complete.csv,v%pt_3,strong,-e,5,7.58%
ShipT_gui_complete.csv,v%pt_3,unknown,-de,1,100.00%
ShipT_gui_complete.csv,v%pt_3,weak,-de,5,35.71%
ShipT_gui_complete.csv,v%pt_3,weak,-te,7,50.00%
ShipT_gui_complete.csv,v%pt_3,weak,-ed,2,14.29%
ShipT_gui_complete.csv,v%pt_3_neg,irregular,-de,1,100.00%
ShipT_gui_complete.csv,v%pt_3_neg,strong,other,2,100.00%
ShipT_gui_complete.csv,v%pt_pl,irregular,-te,3,60.00%
ShipT_gui_complete.csv,v%pt_pl,irregular,-de,2,40.00%
ShipT_gui_complete.csv,v%pt_pl,strong,-de,1,25.00%
ShipT_gui_complete.csv,v%pt_pl,strong,-e,3,75.00%
ShipT_gui_complete.csv,v%pt_pl,weak,-de,3,75.00%
ShipT_gui_complete.csv,v%pt_pl,weak,-te,1,25.00%
WBT_gui_complete.csv,ger,unknown,other,3,100.00%
WBT_gui_complete.csv,v%imp,irregular,other,3,42.86%
WBT_gui_complete.csv,v%imp,irregular,-e,1,14.29%
WBT_gui_complete.csv,v%imp,irregular,-eth,2,28.57%
WBT_gui_complete.csv,v%imp,irregular,-ede,1,14.29%
WBT_gui_complete.csv,v%imp,strong,-e,3,27.27%
WBT_gui_complete.csv,v%imp,strong,-t,3,27.27%
WBT_gui_complete.csv,v%imp,strong,vowel,1,9.09%
WBT_gui_complete.csv,v%imp,strong,other,3,27.27%
WBT_gui_complete.csv,v%imp,strong,-eth,1,9.09%
WBT_gui_complete.csv,v%imp,weak,other,1,20.00%
WBT_gui_complete.csv,v%imp,weak,-e,3,60.00%
WBT_gui_complete.csv,v%imp,weak,-t,1,20.00%
WBT_gui_complete.csv,v%inf,irregular,other,9,30.00%
WBT_gui_complete.csv,v%inf,irregular,-en,4,13.33%
WBT_gui_complete.csv,v%inf,irregular,-e,14,46.67%
WBT_gui_complete.csv,v%inf,irregular,-de,2,6.67%
WBT_gui_complete.csv,v%inf,irregular,-te,1,3.33%
