Headword,Tag,Ending,Count,Percent
seien,v%pr_1,-t,1,1.15%
seien,v%pt_pl,-de,18,46.15%
seien,v%pt_pl,-en,20,51.28%
seien,v%pt_pl,vowel,1,2.56%
seien,v%pr_3,-e,4,4.71%
seien,v%pr_3,other,81,95.29%
seien,v%inf,-e,202,56.74%
seien,v%inf,other,148,41.57%
seien,v%inf,-en,6,1.69%
seien,v%imp,other,28,96.55%
seien,v%imp,-eth,1,3.45%
seien,v%pt_1,-de,20,100.00%
seien,v%pr_2,other,1,4.76%
seien,v%pr_2,-t,19,90.48%
seien,v%pr_2,-e,1,4.76%
seien,v%pr_2_pron,other,9,90.00%
seien,v%pr_2_pron,vowel,1,10.00%
seien,v%pt_2,-t,2,100.00%
seien,v%pt_2_pron,other,3,100.00%
knitten,v%ppl,-t,7,87.50%
knitten,v%ppl,-et,1,12.50%
knitten,v%pt_3,-te,1,100.00%
knitten,v%pr_3,-eth,1,100.00%
knitten,v%pr_2,-t,1,100.00%
knitten,v%inf,-te,1,100.00%
assuren,v%inf,-e,6,100.00%
assuren,v%pr_1,-e,3,100.00%
assuren,v%ppl,-ed,2,100.00%
assuren,v%pr_pl,-e,1,50.00%
assuren,v%pr_pl,-en,1,50.00%
assuren,v%pr_3,-eth,1,100.00%
assuren,v#adj%ppl,-ed,1,100.00%
assuren,v%imp,-e,1,100.00%
assuren,v%pt_3,-ed,1,100.00%
duren,v%inf,-e,19,100.00%
duren,v%pr_3,-e,1,100.00%
don,v%inf,other,130,44.83%
don,v%inf,vowel,122,42.07%
don,v%inf,-e,38,13.10%
don,v%pr_1,vowel,17,100.00%
don,v%ppl,other,97,76.98%
don,v%ppl,vowel,29,23.02%
don,v%pr_pl,other,41,61.19%
don,v%pr_pl,-en,1,1.49%
don,v%pr_pl,vowel,25,37.31%
don,v%imp,vowel,49,71.01%
don,v%imp,other,20,28.99%
don,v%pr_3,other,93,91.18%
don,v%pr_3,vowel,8,7.84%
don,v%pr_3,-e,1,0.98%
don,v%pt_pl,-de,4,30.77%
don,v%pt_pl,-en,8,61.54%
don,v%pt_pl,-d,1,7.69%
don,v%pt_3,-de,42,85.71%
don,v%pt_3,-d,6,12.24%
don,v%pt_3,-ede,1,2.04%
don,v%pt_1,-de,7,100.00%
don,v%ppl_abs,other,3,75.00%
don,v%ppl_abs,vowel,1,25.00%
don,v%pr_2,vowel,8,53.33%
don,v%pr_2,-t,7,46.67%
don,v%pr_2_pron,other,3,75.00%
don,v%pr_2_pron,-t,1,25.00%
don,v%pt_2,-t,1,100.00%
foryeten,v%pt_3,-t,3,100.00%
foryeten,v%ppl,-en,4,80.00%
foryeten,v%ppl,-te,1,20.00%
foryeten,v%pr_3,-eth,1,100.00%
foryeten,v%imp,-te,1,33.33%
foryeten,v%imp,-et,2,66.67%
foryeten,v%pr_1,-te,1,100.00%
foryeten,v%pt_1,-t,1,100.00%
foryeten,v%inf,-te,1,100.00%
yeven,v%inf,-e,35,81.40%
yeven,v%inf,-en,8,18.60%
yeven,v%pt_3,other,49,96.08%
yeven,v%pt_3,-e,2,3.92%
yeven,v%ppl,-en,14,60.87%
yeven,v%ppl,-e,9,39.13%
yeven,v%imp,-e,4,18.18%
yeven,v%imp,other,18,81.82%
yeven,v%pr_3,-e,19,76.00%
yeven,v%pr_3,-eth,3,12.00%
yeven,v%pr_3,other,3,12.00%
yeven,v%pr_2,other,1,25.00%
yeven,v%pr_2,-e,2,50.00%
yeven,v%pr_2,-t,1,25.00%
yeven,v%pt_pl,-e,2,33.33%
yeven,v%pt_pl,-en,2,33.33%
yeven,v%pt_pl,other,2,33.33%
yeven,v%pr_pl,-e,3,60.00%
yeven,v%pr_pl,-en,2,40.00%
yeven,v%pr_1,-e,4,100.00%
yeven,v%pt_1,other,2,100.00%
yeven,v%ppl_abs,-en,1,100.00%
yeven,v%prp_abs,other,1,100.00%
comen,v%pt_3,other,91,94.79%
comen,v%pt_3,-e,5,5.21%
comen,v%inf,-e,48,78.69%
comen,v%inf,-en,12,19.67%
comen,v%inf,other,1,1.64%
comen,v%imp,other,23,92.00%
comen,v%imp,-eth,2,8.00%
comen,v%ppl,-en,16,32.65%
comen,v%ppl,-e,32,65.31%
comen,v%ppl,other,1,2.04%
comen,v%pr_3,-eth,27,42.19%
comen,v%pr_3,-e,6,9.38%
comen,v%pr_3,other,31,48.44%
comen,v%pr_pl,-e,9,64.29%
comen,v%pr_pl,-en,5,35.71%
comen,v%pt_pl,-en,2,22.22%
comen,v%pt_pl,other,4,44.44%
comen,v%pt_pl,-e,3,33.33%
comen,v%pt_1,other,11,91.67%
comen,v%pt_1,-e,1,8.33%
comen,v%prp,-e,2,100.00%
comen,v%pr_1,-e,2,50.00%
comen,v%pr_1,other,2,50.00%
comen,v#adj%prp,-e,5,83.33%
comen,v#adj%prp,other,1,16.67%
comen,v%pr_2,-t,1,100.00%
comen,v%ppl_abs,-en,3,100.00%
comen,v%prp_abs,-e,1,100.00%
cominge,ger,other,5,45.45%
cominge,ger,-e,6,54.55%
risen,v%pr_3,-eth,6,60.00%
risen,v%pr_3,-t,4,40.00%
risen,v%inf,-e,25,100.00%
risen,v%pt_3,other,7,100.00%
risen,v%imp,other,4,100.00%
risen,v%pr_pl,-en,2,40.00%
risen,v%pr_pl,-e,3,60.00%
risen,v%ppl,-en,1,100.00%
suffisen,v%pr_3,-eth,11,100.00%
suffisen,v%inf,-e,31,100.00%
suffisen,v%ppl,-ed,2,100.00%
suffisen,v%prp_abs,-e,1,100.00%
bifallen,v%pt_3,other,31,100.00%
bifallen,v%inf,-e,10,100.00%
bifallen,v%pr_3,-e,4,80.00%
bifallen,v%pr_3,-eth,1,20.00%
bifallen,v%ppl,-e,2,100.00%
shapen,v%pt_3,other,13,100.00%
shapen,v%pr_3,-eth,1,50.00%
shapen,v%pr_3,other,1,50.00%
shapen,v%ppl,-en,16,88.89%
shapen,v%ppl,-e,2,11.11%
shapen,v%pt_1,other,1,100.00%
shapen,v%pr_pl,-en,3,100.00%
shapen,v%inf,-e,4,50.00%
shapen,v%inf,-en,4,50.00%
shapen,v%imp,-eth,3,100.00%
shapen,v%pt_pl,-en,1,100.00%
maken,v%inf,-e,113,77.93%
maken,v%inf,-en,32,22.07%
maken,v%pr_3,-eth,39,92.86%
maken,v%pr_3,-e,2,4.76%
maken,v%pr_3,other,1,2.38%
maken,v%imp,-eth,2,16.67%
maken,v%imp,-e,10,83.33%
maken,v%pt_3,-de,99,94.29%
maken,v%pt_3,-ed,5,4.76%
maken,v%pt_3,-d,1,0.95%
maken,v%ppl,-d,39,65.00%
maken,v%ppl,-ed,19,31.67%
maken,v%ppl,-en,2,3.33%
maken,v%pt_2,-t,6,85.71%
maken,v%pt_2,-de,1,14.29%
maken,v%pr_2,-e,4,66.67%
maken,v%pr_2,-t,2,33.33%
maken,v%pr_pl,-en,13,50.00%
maken,v%pr_pl,-e,13,50.00%
maken,v%ppl_abs,-d,2,100.00%
maken,v%pr_1,-e,7,100.00%
maken,v%pt_1,-de,11,91.67%
maken,v%pt_1,-ed,1,8.33%
maken,v%pt_pl,-en,7,38.89%
maken,v%pt_pl,-de,11,61.11%
maken,v%prp_abs,-e,2,100.00%
faren,v%inf,-e,14,77.78%
faren,v%inf,-en,4,22.22%
faren,v%ppl,-e,11,78.57%
faren,v%ppl,-d,1,7.14%
faren,v%ppl,-en,2,14.29%
faren,v%imp,-e,7,43.75%
faren,v%imp,other,4,25.00%
faren,v%imp,-eth,5,31.25%
faren,v%pr_pl,-e,6,50.00%
faren,v%pr_pl,-en,5,41.67%
faren,v%pr_pl,other,1,8.33%
faren,v%pr_3,-eth,4,100.00%
faren,v%pt_3,-de,10,100.00%
faren,v%pr_1,-e,3,100.00%
faren,v#adj%prp,-e,1,100.00%
faren,v%pt_pl,-en,2,100.00%
faren,v%pt_1,-de,2,100.00%
faren,v%pr_2,-t,2,100.00%
bien,v%inf,-en,1,20.00%
bien,v%inf,-e,4,80.00%
bien,v%pt_pl,-en,3,100.00%
bien,v%ppl,-t,6,100.00%
bien,v%pt_3,-te,4,100.00%
bien,v%pr_pl,-e,1,100.00%
bien,v%pr_1,-e,1,100.00%
bien,v#adj%ppl,-t,1,100.00%
haven,v%pr_3,other,534,94.85%
haven,v%pr_3,-e,27,4.80%
haven,v%pr_3,-eth,1,0.18%
haven,v%pr_3,-t,1,0.18%
haven,v%pr_1,-e,239,100.00%
haven,v%inf,-e,170,51.36%
haven,v%inf,other,160,48.34%
haven,v%inf,-d,1,0.30%
haven,v%pt_3,-de,313,72.96%
haven,v%pt_3,-d,116,27.04%
haven,v%pr_pl,-e,59,19.28%
haven,v%pr_pl,other,246,80.39%
haven,v%pr_pl,-d,1,0.33%
haven,v%pr_2,-t,73,94.81%
haven,v%pr_2,-e,4,5.19%
haven,v%imp,-e,48,97.96%
haven,v%imp,-eth,1,2.04%
haven,v%ppl,-d,22,100.00%
haven,v%pr_2_pron,other,31,93.94%
haven,v%pr_2_pron,vowel,2,6.06%
haven,v%pt_pl,-de,35,57.38%
haven,v%pt_pl,-en,14,22.95%
haven,v%pt_pl,-d,12,19.67%
haven,v%pt_1,-de,41,67.21%
haven,v%pt_1,-d,20,32.79%
haven,v%pt_2,-t,9,81.82%
