headword,forms,following_rules,violating_rules,total,compliance_pct
breken,"['breketh', 'breke', 'broken', 'breek', 'broke', 'brak']",28,1,29,96.55
brennen,"['brent', 'brinne', 'brende', 'brenneth', 'brennen', 'brente', 'brenne', 'brendest', 'ybrent', 'ybrend']",46,0,46,100.0
brenninge,['brenninge'],2,0,2,100.0
bresten,"['brest', 'brast', 'broste', 'breste', 'braste', 'bresten', 'brosten']",23,0,23,100.0
bresting,['bresting'],0,1,1,0.0
briben,['bribe'],1,0,1,100.0
bridelen,['bridled'],1,0,1,100.0
bringen,"['ybroght', 'bringeth', 'broght', 'ybrought', 'bringes', 'bringen', 'bring', 'broghten', 'broghte', 'brought', 'broughte', 'broghtest', 'bringe']",145,3,148,97.97
brouding,['browding'],0,1,1,0.0
brouken,"['brouke', 'broken']",4,0,4,100.0
burnen,['borneth'],1,0,1,100.0
cacchen,"['caughte', 'cacche', 'ycaught', 'kecche', 'caught']",48,1,49,97.96
cakeling,['cakelinge'],1,0,1,100.0
calculen,['calculed'],1,0,1,100.0
calculing,['calculinge'],2,0,2,100.0
callen,"['ycalled', 'callen', 'called', 'calle']",58,0,58,100.0
capen,['cape'],2,0,2,100.0
caren,['care'],3,0,3,100.0
carien,"['caried', 'ycaried', 'carieden', 'caryeden', 'carie', 'carien']",17,0,17,100.0
cariing,['caryinge'],1,0,1,100.0
carolen,['carole'],1,0,1,100.0
caroling,['caroling'],0,1,1,0.0
casten,"['ycast', 'caste', 'cast', 'casteth', 'casten']",80,1,81,98.77
cerclen,['cerclen'],1,0,1,100.0
cesen,"['cesse', 'cese', 'cesseth', 'cessed']",15,0,15,100.0
chacen,"['chaced', 'chaceth', 'chace']",6,1,7,85.71
chalengen,"['chalenge', 'chalange']",2,0,2,100.0
chalenginge,['chalanging'],0,1,1,0.0
chargen,"['chargeth', 'charged', 'charge']",9,0,9,100.0
chasten,['chasted'],1,0,1,100.0
chastisen,['chastised'],1,0,1,100.0
chastisinge,['chastisinge'],1,0,1,100.0
chaungen,"['chaungeth', 'ychaunged', 'changed', 'chaungen', 'chaunge', 'changen', 'chaunged']",33,0,33,100.0
chaunginge,"['chaunginge', 'chaunging']",2,2,4,50.0
chepen,['chepe'],1,0,1,100.0
cherishen,"['cherisse', 'cherice', 'cherisseth', 'chericen']",5,0,5,100.0
chesen,"['chosen', 'chees', 'chese', 'ches', 'chose']",31,1,32,96.88
chesinge,['chesinge'],1,0,1,100.0
cheven,['cheve'],1,0,1,100.0
chiden,"['chit', 'chide', 'chidest', 'chidde']",14,0,14,100.0
chirken,['chirketh'],1,0,1,100.0
chirkinge,['chirking'],0,1,1,0.0
chiteringe,['chiteringe'],1,0,1,100.0
chukken,['chukketh'],1,0,1,100.0
cimenting,['cementing'],0,1,1,0.0
claimen,"['claime', 'claim', 'claimeth']",3,2,5,60.0
clappen,"['clapte', 'clapt', 'clappeth']",4,0,4,100.0
clapping,['clapping'],0,1,1,0.0
clariouning,['clarioninge'],1,0,1,100.0
clateren,"['clateren', 'clatereden']",2,0,2,100.0
clatering,['clateringe'],3,0,3,100.0
clauen,"['clawen', 'yclawed', 'clawe', 'clew']",4,0,4,100.0
clensen,['clense'],1,0,1,100.0
clepen,"['clep', 'clepid', 'cleped', 'clepe', 'clepen', 'ycleped', 'clepeth']",61,2,63,96.83
cleren,['clere'],3,0,3,100.0
climben,"['clomben', 'clamben', 'climben', 'climbe', 'clamb', 'clomb']",12,0,12,100.0
clinken,['clinke'],1,0,1,100.0
closen,"['clos', 'close']",1,1,2,50.0
clothen,"['clothen', 'clothed', 'cladde', 'clothe', 'cladden', 'yclad', 'clad', 'yclothed', 'cledde']",22,0,22,100.0
clothing,['clothing'],0,9,9,0.0
coien,['coye'],1,0,1,100.0
colden,['colde'],5,0,5,100.0
colouren,['coloured'],1,0,1,100.0
comen,"['ycomen', 'cometh', 'icomen', 'come', 'com', 'came', 'comth', 'comen', 'ycome', 'cam', 'comest']",368,19,387,95.09
comforten,"['conforten', 'conforte', 'conforted', 'conforteth', 'comforte']",10,0,10,100.0
cominge,"['coming', 'cominge']",6,7,13,46.15
commaunden,"['comaunden', 'comaunded', 'comande', 'comaundeth', 'comanden', 'comanded', 'comaunde', 'comandeth']",23,1,24,95.83
commenden,"['commenden', 'commended', 'commende', 'commendeden', 'commendeth', 'comende']",6,0,6,100.0
commeven,"['comeveden', 'commeve']",2,0,2,100.0
committen,['committeth'],1,0,1,100.0
communen,['commune'],1,0,1,100.0
compassinge,['compassing'],0,1,1,0.0
compleinen,"['compleinen', 'compleined', 'complaine', 'compleinedest', 'compleine']",22,0,22,100.0
compleininge,"['compleining', 'compleininge']",2,1,3,66.67
completen,['complet'],1,0,1,100.0
comporten,['comporte'],1,0,1,100.0
comprehenden,['comprehende'],3,0,3,100.0
conceiven,['conceived'],1,0,1,100.0
concluden,"['concluden', 'conclude', 'concluded']",11,0,11,100.0
condescenden,"['condescende', 'condescended']",2,0,2,100.0
confermen,"['conferme', 'confermed', 'confirme']",3,0,3,100.0
confessen,['confessen'],1,0,1,100.0
confounden,"['confounded', 'confounde']",2,0,2,100.0
congeien,['congeyen'],1,0,1,100.0
conjuren,['conjure'],2,0,2,100.0
connen,"['can', 'coudest', 'couthe', 'coud', 'konne', 'cunne', 'canst', 'couth', 'con', 'ykoude', 'coude', 'kan', 'conne', 'kon']",473,30,503,94.04
conninge,"['kunninge', 'conninge', 'konning', 'cunning', 'conning']",3,10,13,23.08
conqueren,['conquered'],1,1,2,50.0
consecraten,['consecrat'],1,0,1,100.0
consenten,"['consente', 'consenteth']",5,0,5,100.0
conserven,"['conserved', 'conserve']",5,0,5,100.0
consideren,"['considere', 'considered', 'considereth']",8,0,8,100.0
constreinen,"['constreineth', 'constreine', 'constreined']",7,0,7,100.0
construen,['construe'],1,0,1,100.0
consumen,['consume'],1,0,1,100.0
continuen,['continue'],1,0,1,100.0
contrarien,"['contraried', 'contrarie']",2,1,3,66.67
conveien,"['conveied', 'conveyed']",2,0,2,100.0
converten,"['converte', 'converted']",6,0,6,100.0
correcten,"['corrected', 'correcten']",3,0,3,100.0
corrupten,"['corrupteth', 'corrupt']",2,0,2,100.0
costen,"['coste', 'cost']",6,0,6,100.0
couchen,"['couche', 'couchen', 'couched']",7,0,7,100.0
coughen,"['cogheth', 'coghe', 'coughen']",3,0,3,100.0
counseilen,"['conseille', 'counseile', 'counseilest', 'consaille', 'counsaillen', 'counseil', 'counseilled']",8,0,8,100.0
counten,"['counte', 'count', 'counted']",3,0,3,100.0
countrefeten,"['countrefete', 'contrefete', 'countrefeted', 'countrefeteth', 'counterfete']",13,0,13,100.0
countrepeisen,['countrepeise'],2,0,2,100.0
coveiten,['coveiteth'],4,0,4,100.0
craken,['craketh'],2,0,2,100.0
crasen,['crased'],1,0,1,100.0
craven,['crave'],2,0,2,100.0
creauncen,"['creaunceth', 'creaunced', 'creaunce']",3,0,3,100.0
crepen,"['cropen', 'crepen', 'crepeth', 'creep', 'crepe', 'crepte']",18,0,18,100.0
crien,"['cride', 'cryen', 'criden', 'cryeth', 'crie', 'crien', 'crieth', 'cried', 'criede', 'crye']",91,0,91,100.0
criing,"['cryinge', 'crying']",1,2,3,33.33
cristnen,"['cristened', 'cristned']",2,1,3,66.67
crouen,"['crew', 'crowe', 'ycrowe']",7,0,7,100.0
crouinge,['crowing'],0,2,2,0.0
cursen,"['curseth', 'cursen', 'corse', 'curse']",8,0,8,100.0
cursing,['cursing'],0,2,2,0.0
dampnen,['dampned'],9,0,9,100.0
daren,['dare'],1,0,1,100.0
daswen,['daswed'],1,0,1,100.0
dauen,"['dawed', 'daweth', 'dawe']",4,0,4,100.0
dauinge,['dawing'],0,1,1,0.0
dauncen,"['daunceth', 'daunce', 'dauncen', 'daunced']",23,1,24,95.83
dauninge,['daweninge'],2,0,2,100.0
daunten,"['dauntest', 'daunteth']",3,0,3,100.0
deceiven,"['deceived', 'deceive', 'deceivest']",9,0,9,100.0
declamen,['declamed'],0,1,1,0.0
declaren,"['declared', 'declare', 'declaren']",11,0,11,100.0
deden,['dede'],1,0,1,100.0
defacen,"['deface', 'defaced']",5,0,5,100.0
defamen,"['diffame', 'defame']",2,0,2,100.0
defenden,"['defende', 'defended', 'defendeth', 'defenden']",6,0,6,100.0
defoulen,"['defoulen', 'defouled']",5,0,5,100.0
deien,"['diyd', 'dyed']",2,0,2,100.0
delen,"['deled', 'dele', 'delte', 'delen']",4,0,4,100.0
deliberen,"['delibered', 'deliberen']",2,0,2,100.0
deliten,"['deliteth', 'delite', 'delited', 'deliten']",6,1,7,85.71
deliveren,"['delivered', 'deliveren', 'delivere', 'delivereth', 'deliver']",11,1,12,91.67
delven,"['dolven', 'delve']",3,0,3,100.0
demeinen,['demeine'],1,0,1,100.0
demen,"['demen', 'demed', 'demeth', 'deme', 'demest', 'demede', 'deem']",31,1,32,96.88
departen,"['departe', 'departen', 'depart', 'departed']",31,0,31,100.0
departinge,['departinge'],1,0,1,100.0
depeinten,"['depeint', 'depeinted']",6,0,6,100.0
depriven,['deprive'],1,0,1,100.0
dereinen,['darreine'],4,0,4,100.0
deren,['dere'],4,0,4,100.0
deriven,"['derived', 'deriveth']",2,0,2,100.0
descenden,"['descendeth', 'descende', 'descenden', 'descended']",14,0,14,100.0
descriven,"['discrived', 'descriven', 'discriven', 'discrive', 'discreven', 'descrive']",14,0,14,100.0
deserven,"['deservedest', 'deserved', 'deserve']",25,0,25,100.0
desiren,"['desire', 'desired', 'desirest', 'desiren', 'desireth']",42,0,42,100.0
desiringe,['desiring'],0,1,1,0.0
despeiren,['despeired'],4,0,4,100.0
despisen,"['despise', 'dispise', 'despisest']",9,0,9,100.0
despoilen,['dispoilen'],1,0,1,100.0
destroien,"['destroye', 'destroyeth', 'destroyen', 'destroyed']",14,0,14,100.0
determinen,"['determine', 'determinen']",2,0,2,100.0
devisen,"['deviseth', 'devisest', 'devise', 'devisen']",75,0,75,100.0
devisinge,['devising'],0,1,1,0.0
devouren,"['devoure', 'devoured']",4,0,4,100.0
dichen,['dike'],1,0,1,100.0
dien,"['deied', 'deyen', 'deiden', 'dide', 'deid', 'deide', 'deie', 'deidest', 'dey', 'dien', 'deye', 'dyen', 'died', 'dye', 'deith', 'dyeth', 'die', 'dieth']",177,0,177,100.0
diffinen,"['diffine', 'deffine', 'diffinen', 'define']",5,0,5,100.0
dighten,"['dighte', 'dight', 'ydight']",8,0,8,100.0
diinge,['deyinge'],1,0,1,100.0
discernen,"['discerne', 'descerne']",4,0,4,100.0
discomfiting,['disconfitinge'],1,0,1,100.0
discomforten,['disconforten'],1,0,1,100.0
discoveren,"['discovered', 'discover', 'discoveren', 'discure', 'discovere']",4,1,5,80.0
discussen,['discussed'],1,0,1,100.0
disdeinen,['disdeine'],1,0,1,100.0
disesen,"['disesed', 'disese', 'disesen']",3,0,3,100.0
disfiguren,"['disfigured', 'disfigure']",3,0,3,100.0
disgisen,['disgised'],1,0,1,100.0
disobeien,['disobeye'],1,0,1,100.0
disparagen,"['disparaged', 'disparage']",2,0,2,100.0
dispenden,"['despende', 'dispende', 'despended']",6,0,6,100.0
displaien,['desplayeth'],1,0,1,100.0
displesen,"['displesed', 'displese', 'displeseth']",11,0,11,100.0
disponen,"['desponeth', 'dispone']",2,0,2,100.0
disporten,"['desporte', 'disporte', 'disporten']",8,0,8,100.0
disposen,['disposed'],5,0,5,100.0
disputen,"['disputed', 'dispute']",2,0,2,100.0
disseveren,['dissever'],0,1,1,0.0
dissimulen,"['dissimulen', 'dissimuleth']",3,0,3,100.0
dissimulinge,['dissimulinge'],1,0,1,100.0
distillen,['distille'],1,0,1,100.0
distourben,"['distorben', 'distourben', 'distourbe']",5,0,5,100.0
distreinen,"['destreine', 'distreineth', 'destreineth', 'distreine', 'destrained']",6,0,6,100.0
distroublen,['destroubled'],1,0,1,100.0
disturnen,['disturne'],1,0,1,100.0
diversen,['diverseth'],1,0,1,100.0
dividen,"['divided', 'divide']",2,0,2,100.0
divinen,"['divine', 'devine', 'divinen']",10,0,10,100.0
divininge,['divininge'],1,0,1,100.0
doinge,"['doing', 'doinge']",3,1,4,75.0
dokken,['dokked'],1,0,1,100.0
doten,['dote'],1,0,1,100.0
doublen,['doubleth'],1,0,1,100.0
drauen,"['ydrawe', 'drow', 'drawe', 'drawen', 'drough', 'draw']",35,0,35,100.0
drecchen,"['drecche', 'drecched']",4,0,4,100.0
drecchinge,['drecching'],0,1,1,0.0
dreden,"['dredden', 'dredeth', 'dreden', 'drede', 'drat', 'dredde', 'dradde']",37,0,37,100.0
drenchen,"['dreinte', 'drent', 'dreint', 'drenche', 'drenchen']",14,0,14,100.0
drenchinge,['drenching'],0,1,1,0.0
dressen,"['dresse', 'dressede', 'dressed', 'ydressed']",19,0,19,100.0
drinken,"['drinken', 'dronken', 'dronk', 'drinke', 'drinketh', 'drank', 'dronke']",44,0,44,100.0
driven,"['driveth', 'drifth', 'droof', 'drive', 'driven']",37,0,37,100.0
droupen,['drouped'],0,1,1,0.0
druggen,['drugge'],1,0,1,100.0
dullen,"['dullen', 'dulleth', 'dulle']",3,0,3,100.0
duren,"['dure', 'duren']",13,0,13,100.0
durren,"['dorst', 'dur', 'darst', 'durst', 'dorste', 'durste', 'dar']",120,3,123,97.56
durring,['durring'],0,1,1,0.0
dusken,['dusked'],1,0,1,100.0
dwellen,"['dwellen', 'dwelleth', 'dwelte', 'dwelt', 'dwelten', 'dwelled', 'dwelle']",79,0,79,100.0
dwellinge,"['dwellinge', 'dwelling']",1,5,6,16.67
ebben,['ebben'],1,0,1,100.0
eilen,"['eileth', 'eile', 'aileth', 'eiled']",13,0,13,100.0
eken,"['eched', 'eche']",5,0,5,100.0
embosen,['embosed'],1,0,1,100.0
embracen,"['embrace', 'embraceth']",7,0,7,100.0
embrouden,['embrouded'],1,0,1,100.0
empeiren,['empeire'],1,0,1,100.0
emplastren,['emplastre'],1,0,1,100.0
empoisounen,['empoisoned'],1,0,1,100.0
empoisouning,['empoisoning'],0,2,2,0.0
emprenten,"['enprented', 'emprented']",3,0,3,100.0
emprenting,['emprenting'],0,1,1,0.0
empten,"['empten', 'empte']",2,0,2,100.0
enchaunten,"['enchanted', 'enchaunten']",2,0,2,100.0
enclinen,"['enclined', 'encline']",5,0,5,100.0
enclining,['enclining'],0,1,1,0.0
enclosen,"['enclosen', 'enclosed']",3,0,3,100.0
encombren,['encombred'],1,0,1,100.0
encorporing,['encorporing'],0,1,1,0.0
encresen,"['encreseth', 'encressed', 'encresse', 'encreesseth', 'encressen', 'encresed', 'encrese', 'encresen']",16,0,16,100.0
enden,"['ended', 'endeth', 'ende']",10,0,10,100.0
endinge,['ending'],0,2,2,0.0
enditen,"['enditeth', 'endite']",21,0,21,100.0
enduren,"['endure', 'endured', 'endurest', 'enduren']",44,0,44,100.0
enforcen,['enforce'],2,0,2,100.0
enfourmen,['enformed'],1,0,1,100.0
engendren,"['engendred', 'engendreth', 'engendren']",7,0,7,100.0
enginen,['engined'],1,0,1,100.0
enhabiten,['enhabit'],1,0,1,100.0
enhauncen,"['enhaunced', 'enhauncen']",2,0,2,100.0
enhorten,['enhorte'],1,0,1,100.0
enluting,['enluting'],0,1,1,0.0
enointen,['anoint'],1,0,1,100.0
enqueren,"['enqueren', 'enquere']",4,0,4,100.0
enselen,['enseled'],1,0,1,100.0
ensuren,"['ensure', 'ensuren']",2,0,2,100.0
entenden,"['entende', 'entendeth', 'entended']",12,0,12,100.0
enterchaungen,"['entrechaunged', 'entrechaungeden']",2,0,2,100.0
entercomunen,['entrecomunen'],1,0,1,100.0
entermeten,['entermeten'],1,0,1,100.0
enterparten,['entreparten'],1,0,1,100.0
entren,"['entred', 'entren', 'entre']",5,0,5,100.0
entriken,['entriketh'],1,0,1,100.0
entringe,['entring'],0,1,1,0.0
entunen,['entune'],1,0,1,100.0
envenimen,"['envenime', 'envenimed']",3,0,3,100.0
enveniming,['enveniminge'],1,0,1,100.0
envolupen,['envoluped'],1,0,1,100.0
escapen,"['escape', 'escaped', 'escapen', 'escapeth']",9,0,9,100.0
escheuen,"['eschewed', 'eschuwe', 'eschue']",5,0,5,100.0
esen,"['ese', 'esed', 'esen']",12,0,12,100.0
esing,['esing'],0,1,1,0.0
eten,"['eteth', 'eet', 'eten', 'ete']",26,0,26,100.0
exciten,"['excited', 'exciteth']",2,0,2,100.0
excusen,"['excused', 'excusen', 'excuse']",12,0,12,100.0
executen,['execut'],1,0,1,100.0
exercisen,"['excercise', 'exercise']",2,0,2,100.0
expellen,['expelle'],1,0,1,100.0
expounen,"['expouned', 'expounde', 'expoune', 'expounden']",7,0,7,100.0
expressen,"['expresse', 'expressed']",6,0,6,100.0
failen,"['faile', 'failled', 'failen', 'failed', 'fail', 'faille', 'faillen', 'faileth']",27,1,28,96.43
failinge,['failing'],0,1,1,0.0
fallen,"['fil', 'fel', 'fillen', 'fill', 'fille', 'falleth', 'yfalle', 'fallest', 'yfallen', 'felle', 'fal', 'falles', 'fallen', 'fellen', 'falle']",173,1,174,99.43
fallinge,"['falling', 'fallinge']",1,4,5,20.0
falsen,"['falsed', 'falsen']",5,0,5,100.0
