infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
ringen,ringen,strong,False,,,,rong(10),,,0,0,0,10,0,0,10
risen,risen,strong,True,risen(7); rysen(1),,,roos(32); ros(2),,,8,0,0,34,0,0,42
sen,sen,strong,False,seyen(1); seen(10); sene(4),,seyn(36); sein(2),saw(50); saugh(291); sawgh(22); say(15); sawe(2); saigh(1),,saugh(1); sey(10); seigh(3),15,0,38,381,0,14,448
shaken,shaken,strong,False,,,,shook(4),,,0,0,0,4,0,0,4
shapen,shapen,strong,False,shape(6); shapen(23),,shapyn(1),shoop(27); shop(5),,,29,0,1,32,0,0,62
shaven,shaven,strong,False,shave(4),,,,,,4,0,0,0,0,0,4
shinen,shinen,strong,False,,,,shoon(9),,shoon(13); shon(2),0,0,0,9,0,15,24
shriven,shriven,strong,False,shriven(1); shryven(1),,,,,,2,0,0,0,0,0,2
singen,singen,strong,True,songen(4); songe(2),,,song(22); sang(11); songe(2); soong(3),,,6,0,0,38,0,0,44
sinken,sinken,strong,False,sonken(4),,,,,,4,0,0,0,0,0,4
slen,slen,strong,False,slawen(2); slaine(1); slayne(1); slawe(1),,slayn(43); slain(33); sleyn(2); yslain(3); yslayn(3),slow(46); slough(15); slowh(1),,,5,0,84,62,0,0,151
slepen,slepen,strong,True,,,,,slept(1); slepte(5),sleep(11); slep(3); slepe(1),0,0,0,0,6,15,21
smiten,smiten,strong,True,smyten(1),,,smoot(24); smot(4),,,1,0,0,28,0,0,29
souen,souen,strong,False,sowe(2),,,,,,2,0,0,0,0,0,2
souken,souken,strong,True,,souked(2),,,,,0,2,0,0,0,0,2
speken,speken,strong,True,spoken(14); spoke(6),,,spak(148); spake(2),,spak(2),20,0,0,150,0,2,172
springen,springen,strong,False,spronge(2),,,sprang(2); sprong(1); sproong(1),,sprang(1); sprong(2),2,0,0,4,0,3,9
stelen,stelen,strong,True,stole(6),,stoln(4),stal(7),,stale(2); stal(5); staale(1); staal(2),6,0,4,7,0,10,27
steppen,steppen,strong,True,stapen(2),,,,,,2,0,0,0,0,0,2
sterven,sterven,strong,True,,,,starf(12),,,0,0,0,12,0,0,12
stingen,stingen,strong,False,stongen(2),,,,,,2,0,0,0,0,0,2
stonden,stonden,strong,True,stonden(5),,,,stod(6); stood(100); stoode(1); stode(1),,5,0,0,0,108,0,113
strepen,strepen,strong,False,strepen(2),,,,,,2,0,0,0,0,0,2
striven,striven,strong,True,,,,stroof(2); strof(2),,,0,0,0,4,0,0,4
swellen,swellen,strong,True,,,,swal(2),,swal(2),0,0,0,2,0,2,4
swelten,swelten,strong,True,,,,,swelte(4),,0,0,0,0,4,0,4
sweren,sweren,strong,True,yswore(1),,sworn(11); ysworn(2),swoor(28); swor(17); swore(2),,swoor(1); swor(1); swer(1),1,0,13,47,0,3,64
sweten,sweten,strong,False,,,,swatte(2),,,0,0,0,2,0,0,2
swinken,swinken,strong,False,swonken(2),,,,,,2,0,0,0,0,0,2
taken,taken,strong,True,taken(18); take(15),,,took(217); tok(24); toke(5); tooke(5),,took(1); i(1),33,0,0,251,0,2,286
throuen,throuen,strong,False,throwen(2),,,threw(3),,,2,0,0,3,0,0,5
tobresten,tobresten,strong,False,tobrosten(2),,,,,,2,0,0,0,0,0,2
toheuen,toheuen,strong,False,tohewen(2),,,,,,2,0,0,0,0,0,2
treden,treden,strong,True,troden(2),,,,trad(1),,2,0,0,0,1,0,3
understonden,understonden,strong,True,understonde(5),,,,understood(6); understod(1),,5,0,0,0,7,0,12
undon,undon,strong,False,,,,undide(2),,,0,0,0,2,0,0,2
unknouen,unknouen,strong,False,unknowen(5); unknowe(2),,,,,,7,0,0,0,0,0,7
waken,waken,strong,True,,waked(2),,wook(8); wok(1),,,0,2,0,9,0,0,11
walken,walken,strong,True,,walked(6),,welk(6),walked(6),,0,6,0,6,6,0,18
washen,washen,strong,False,wasshen(2),,,,,wessh(2),2,0,0,0,0,2,4
waxen,waxen,strong,True,woxen(17); wexe(1); woxe(1); waxen(7),,,wex(46); weex(5); wexe(1),,wax(18); waxe(1),26,0,0,52,0,19,97
weilen,weilen,strong,False,,,,wayled(2); wailed(1),,,0,0,0,3,0,0,3
wepen,wepen,strong,True,wepen(2); wopen(4),wept(4),,,wepte(11); wept(2),weep(28); wep(3); weepe(1),6,4,0,0,13,32,55
weren,weren,strong,True,,wered(5),,,wered(14); werede(3),,0,5,0,0,17,0,22
winnen,winnen,strong,True,wonne(11); wonnen(6),,,wan(25); wanne(1),,,17,0,0,26,0,0,43
wreken,wreken,strong,False,ywroke(2),,,wrak(2),,,2,0,0,2,0,0,4
wrien,wrien,strong,False,,,,wreigh(1); wryed(2),,,0,0,0,3,0,0,3
wringen,wringen,strong,False,,,,wrong(6),,,0,0,0,6,0,0,6
writen,writen,strong,True,writen(25); ywriten(7); written(2); write(4); iwriten(2); ywrite(2),,,wroot(31); wrot(9),wroot(2),,42,0,0,40,2,0,84
yelden,yelden,strong,False,yolde(1); yolden(3),,,,,,4,0,0,0,0,0,4
yeven,yeven,strong,False,yeve(14); yeven(27); yyeven(1); yive(3),,,gaf(3),,yaf(122),45,0,0,3,0,122,170
