infinitive,headword,category,known_strong,ppl_strong_forms,ppl_weak_forms,ppl_unclear_forms,pt_strong_forms,pt_weak_forms,pt_unclear_forms,ppl_strong_count,ppl_weak_count,ppl_unclear_count,pt_strong_count,pt_weak_count,pt_unclear_count,total_occurrences
deliten,deliten,weak,False,,,,,delited(2),,0,0,0,0,2,0,2
deliveren,deliveren,weak,False,,delivered(2),,,delivered(1); delyvered(1),,0,2,0,0,2,0,4
demen,demen,weak,False,,demed(2),,,demed(9); demede(1),,0,2,0,0,10,0,12
departen,departen,weak,False,,departed(21),,,departed(2),,0,21,0,0,2,0,23
depeinten,depeinten,weak,False,,depeinted(5); depeynted(6),,,,,0,11,0,0,0,0,11
deriven,deriven,weak,False,,derived(1); dirryved(1),,,,,0,2,0,0,0,0,2
descenden,descenden,weak,False,,descended(5),,,descended(2),,0,5,0,0,2,0,7
descriven,descriven,weak,False,,discrived(1); discryved(1),,,,,0,2,0,0,0,0,2
deserven,deserven,weak,False,,deserved(8); disserved(1),,,,,0,9,0,0,0,0,9
desiren,desiren,weak,False,,desired(1),,,desired(4),,0,1,0,0,4,0,5
despeiren,despeiren,weak,False,,despeired(5); dispeired(1); despeyred(1),,,,,0,7,0,0,0,0,7
destroien,destroien,weak,False,,destroyed(10); destroied(2),,,destroyed(4),,0,12,0,0,4,0,16
dighten,dighten,weak,False,,ydight(2); dight(2),,,,,0,4,0,0,0,0,4
discoveren,discoveren,weak,False,,discovered(2),,,,,0,2,0,0,0,0,2
discussen,discussen,weak,False,,discussed(2),,,,,0,2,0,0,0,0,2
disfiguren,disfiguren,weak,False,,disfigured(2),,,,,0,2,0,0,0,0,2
disgisen,disgisen,weak,False,,disgised(2),,,,,0,2,0,0,0,0,2
disparagen,disparagen,weak,False,,disparaged(2),,,,,0,2,0,0,0,0,2
dispenden,dispenden,weak,False,,despended(2),,,,,0,2,0,0,0,0,2
displesen,displesen,weak,False,,displesed(3),,,,,0,3,0,0,0,0,3
disposen,disposen,weak,False,,disposed(6),,,disposed(2),,0,6,0,0,2,0,8
disputen,disputen,weak,False,,,,,disputed(2),,0,0,0,0,2,0,2
distourben,distourben,weak,False,,destourbed(1),,,,,0,1,0,0,0,0,1
distroublen,distroublen,weak,False,,destroubled(2),,,,,0,2,0,0,0,0,2
dividen,dividen,weak,False,,divided(1); dyvyded(1),,,,,0,2,0,0,0,0,2
dokken,dokken,weak,False,,dokked(2),,,,,0,2,0,0,0,0,2
drecchen,drecchen,weak,False,,drecched(2),,,,,0,2,0,0,0,0,2
dremen,dremen,weak,False,,,,,dremed(8),,0,0,0,0,8,0,8
dressen,dressen,weak,False,,dressed(2),,,dressede(1); dressed(5),,0,2,0,0,6,0,8
drounen,drounen,weak,False,,drowned(1),,,,,0,1,0,0,0,0,1
dusken,dusken,weak,False,,,,,dusked(2),,0,0,0,0,2,0,2
eilen,eilen,weak,False,,,,,eyled(1); eiled(1),,0,0,0,0,2,0,2
eken,eken,weak,False,,eched(2),,,,,0,2,0,0,0,0,2
embosen,embosen,weak,False,,embosed(2),,,,,0,2,0,0,0,0,2
embracen,embracen,weak,False,,embraced(1),,,,,0,1,0,0,0,0,1
embrouden,embrouden,weak,False,,embrouded(2),,,,,0,2,0,0,0,0,2
empoisounen,empoisounen,weak,False,,empoisoned(1); empoysoned(2),,,,,0,3,0,0,0,0,3
emprenten,emprenten,weak,False,,emprented(4); enprented(2),,,,,0,6,0,0,0,0,6
enchaunten,enchaunten,weak,False,,enchanted(2),,,,,0,2,0,0,0,0,2
enclinen,enclinen,weak,False,,enclined(3); enclyned(3),,,,,0,6,0,0,0,0,6
enclosen,enclosen,weak,False,,enclosed(4),,,,,0,4,0,0,0,0,4
encombren,encombren,weak,False,,encombred(2),,,,,0,2,0,0,0,0,2
encresen,encresen,weak,False,,encressed(4),,,encresed(1); encresede(1),,0,4,0,0,2,0,6
enden,enden,weak,False,,ended(7),,,,,0,7,0,0,0,0,7
