OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
He coude in litel thing han suffisaunce,He coude in litel thing han suffisaunce,u S u Su S u SuS,10,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,60.34,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49,u Sx u Su S u SuSx,10,1,57.49
"Today with swerdes, and with slinge-stones",Today with swerdes and with slingestones,uS u Su S u SuSx,10,uS u Sx u S uSuS,10,0,31.81,uS u Sx u S uSuS,10,0,31.81,uS u Sx u S uSuS,10,0,31.81,uS u Su S u SuSx,10,1,23.62,uS u Su S u SuSx,10,1,23.62,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00
For sawcefleem he was with eyen narwe,For sawcefleem he was with eyen narwe,u SuS u S u S uS,10,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,46.43,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00,u SuS u S u Su Sx,10,0,45.00
"And doon me wrong? what shal I do, allas?",And doon me wrong what shal I do allas,u S u S u S u S uS,10,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,76.88,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77,u S u S u S u S uS,10,1,75.77
Shal have a soper at oure aller cost,Shal have a soper at oure aller cost,u S u Su S u Su S,10,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,67.91,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66,u Sx u Su S ux Su S,10,1,66.66
And nat biwreye° thing that men us telle.,And nat biwreye thing that men us telle,u S uSu S u S u S,10,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,46.90,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15,S u Su S u S u Sx,9,0,48.15
"As she wel coude, and they hir reverence",As she wel coude and they hir reverence,u S u Sx u S u SuSx,10,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56,u S u Sx u S u SuSx,10,1,63.56
"“But if ye lete him deye, I wol sterve;",But if ye lete him deye I wol sterve,u S u S u Su S u Sx,10,u S u Su S u S u Sx,10,0,39.87,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,55.79,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,54.68,u S u Sx u Su S u Sx,10,1,54.68
That of hir smiling was ful simple and coy,That of hir smiling was ful simple and coy,u S u Su S u S u S,10,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89,u S u Su S u Sx u S,10,1,46.89
Now lat hir wende unto hir owne place,Now lat hir wende unto hir owne place,u S u Sx uS u Su Sx,10,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,70.80,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55,u S u Sx uS u Su Sx,10,1,69.55
