OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE,V2_SCANSION,V2_SYLLABLES,V2_MATCHES_GREEN,V2_CONFIDENCE,V3_SCANSION,V3_SYLLABLES,V3_MATCHES_GREEN,V3_CONFIDENCE,V4_SCANSION,V4_SYLLABLES,V4_MATCHES_GREEN,V4_CONFIDENCE,V5_SCANSION,V5_SYLLABLES,V5_MATCHES_GREEN,V5_CONFIDENCE,V6_SCANSION,V6_SYLLABLES,V6_MATCHES_GREEN,V6_CONFIDENCE,V7_SCANSION,V7_SYLLABLES,V7_MATCHES_GREEN,V7_CONFIDENCE,V8_SCANSION,V8_SYLLABLES,V8_MATCHES_GREEN,V8_CONFIDENCE,V9_SCANSION,V9_SYLLABLES,V9_MATCHES_GREEN,V9_CONFIDENCE
This nil I not foryeten in no wise.”,This nil I not foryeten in no wise,u S u S uSu S u Sx,10,u S u S uSux S u Sx,10,1,71.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62,u S u S uSuS u S ux,11,0,47.62
"“Now, eem,” quod she, “what wolde ye devise",Now eem quod she what wolde ye devise,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48,u S u S u Su S uSx,10,1,64.48
And God so wis be my savacioun,And God so wis be my savacioun,u S u S u S uSuS,10,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,73.80,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37,u S u S u S uSuS,10,1,72.37
"“Can he wel speke of love?” quod she, “I preie",Can he wel speke of love quod she I preie,u S u Sx u Sx u S u S,10,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,63.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83,u S u Sx u Sx u S u S,10,1,65.83
And certeinly he was a good felawe,And certeinly he was a good felawe,u SuS u S u S uS,10,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,85.83,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41,u SuS u S u S uSx,10,1,84.41
"She seide, “O love, to whom I have and shal",She seide O love to whom I have and shal,u Sx u Sx u S u Sx u S,10,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,75.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05,u Sx u Sx u S u Sx u S,10,1,73.05
"Through more wode or col, the more fir;",Through more wode or col the more fir,u Su Sx u S u Su S,10,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,50.16,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41,u Su Sx u S u Su S,10,1,46.41
And why? For shame; and it were eek to sone,And why For shame and it were eek to sone,u S u Sx u S ux S u Sx,10,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,67.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70,u S u Sx u S ux S u Sx,10,1,66.70
If that he faught and had the hyer hond,If that he faught and had the hyer hond,u S u S u S u S u,9,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,56.42,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20,u S u S u S u Su S,10,0,54.20
"God woot, that he it grauntede anonright",God woot that he it grauntede anonright,u S u S u Sux SuS,10,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,38.79,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,40.22,u S u S u Sux SuS,10,1,40.22,      ,0,0,0.00
And for to festne his hood under his chin,And for to festne his hood under his chin,u S u S u S uS u S,10,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,58.44,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55,u S u Sx u S uS u S,10,1,59.55
"Right for the firste sighte; ye, pardee?”",Right for the firste sighte ye pardee,u S u Su Su S uS,10,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,48.57,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71,u S u Su Su S uS,10,1,45.71
"Ye do hem corteis be, fresshe and benigne",Ye do hem corteis be fresshe and benigne,u S u Su S ux S uSx,10,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,39.21,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,40.46,u S u Su S ux S uSx,10,1,40.46,       ,0,0,0.00
"To prayen hir tomorwe, lo, that she",To prayen hir tomorwe lo that she,u Su S uSu S u S,10,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,38.36,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,36.94,u Su S uSu S u S,10,1,36.94,      ,0,0,0.00
Ther was also a Reve and a Millere,Ther was also a Reve and a Millere,u S uS u S u S uS,10,u S uS u Su S u Sxx,10,0,60.91,u S uS u Su S u Sxx,10,0,60.91,u S uS u Su S u Sxx,10,0,60.91,u S uS u Sx u S uSx,10,1,55.93,u S uS u Sx u S uSx,10,1,55.93,       ,0,0,0.00,       ,0,0,0.00,u S uS u Sx u S uSx,10,1,55.93,u S uS u Sx u S uSx,10,1,55.93
Reed as the bristles of a sowes eres,Reed as the bristles of a sowes eres,u S u Su S u Su Su,11,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,33.21,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,31.96,u S u Su S u Su Sx,10,0,31.96,       ,0,0,0.00
And whoso wol my jugement withseye,And whoso wol my jugement withseye,u Su S u SuS uS,10,S uS u S uSu Su,10,0,12.97,S uS u S uSu Su,10,0,12.97,S uS u S uSu Su,10,0,12.97,S uS u S uSu Su,10,0,12.97,S uS u S uSu Su,10,0,12.97,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00,     ,0,0,0.00
Upon an amblere esily she sat,Upon an amblere esily she sat,uS u Su SuS u S,10,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28,uS u Sux SuS u S,10,1,54.28
Of desespeir that Troilus was inne:,Of desespeir that Troilus was inne,u SuS u SuS u Sx,10,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47,u SuS u SuS u Sx,10,1,60.47
This worthy man ful wel his wit bisette,This worthy man ful wel his wit bisette,u Su S u S u S uS,10,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74,u Su S u S u S uSx,10,1,72.74
"For love, and lat me liven as I can.’",For love and lat me liven as I can,u Sx u S u Su S u S,10,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,68.91,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68,u Sx u S u Su S u S,10,1,66.68
"The viage, and the lettre I shal endite",The viage and the lettre I shal endite,u Sux S u Sx u S uSx,10,u Sux S u Sx u S uSx,10,1,58.27,u Sux S u Sx u S uSx,10,1,58.27,u Sux S u Sx u S uSx,10,1,59.52,u Sux S u Sx u S uSx,10,1,58.27,u Sux S u Sx u S uSx,10,1,58.27,u Sux S u Sx u S uSx,10,1,58.27,u Su S u Sx u S uSx,10,1,58.27,u Su S u Sx u S uSx,10,1,58.27,u Su S u Sx u S uSx,10,1,58.27
The wordes moot be cosin to the dede,The wordes moot be cosin to the dede,u Su S u Su S u S,10,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,71.13,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38,u Su S u Su S u Sx,10,1,67.38
But ofte gan the herte glade and quake,But ofte gan the herte glade and quake,u Su S u Su Sx u Sx,10,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,70.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61,u Su S u Su Sx u Sx,10,1,65.61
"Ben youres, also God my sowle save;",Ben youres also God my sowle save,u Su Su S u Su Sx,10,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01,u Su Su S u Su Sx,10,1,60.01
Lordinges quod he now herkneth for the beste,Lordinges quod he now herkneth for the beste,uSu S u S uS u S u,11,uSx u S u Su S u Sx,10,0,55.32,uSx u S u Su S u Sx,10,0,55.32,uSx u S u Su S u Sx,10,0,55.32,uSu S u S ux S u Sx,10,0,48.68,uSu S u S ux S u Sx,10,0,48.68,       ,0,0,0.00,       ,0,0,0.00,uSu S u S ux S u Sx,10,0,48.68,uSu S u S ux S u Sx,10,0,48.68
"Do that I seye, and lat me therwith gon;",Do that I seye and lat me therwith gon,u S u Sx u S u Su S,10,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,62.91,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80,u S u S u S u Su S,10,1,61.80
"“Ye, wis,” quod fresh Antigone the white",Ye wis quod fresh Antigone the white,u S u S uSuS u Sx,10,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,33.79,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,35.22,S u S u SuSx u Sx,9,0,35.22,      ,0,0,0.00
"“I vouche sauf,” quod he, “do what yow liste.”",I vouche sauf quod he do what yow liste,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56,u Su S u S u S u Sx,10,1,65.56
And every crike in Britaigne and in Spaine,And every crike in Britaigne and in Spaine,u Su S u Su S u S,10,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,u Su Sx u Sux S u Sx,10,1,37.78,       ,0,0,0.00
And elde daunteth daunger at the laste.’,And elde daunteth daunger at the laste,u Su Su Su S u Sx,10,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,78.11,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25,u Su Su Su S u Sx,10,1,75.25
And therto brood as though it were a spade,And therto brood as though it were a spade,u Su S u S u S u S,10,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,65.35,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23,u Su S u S u Sx u Sx,10,1,64.23
Thorgh which Troyens loste al hir joye.,Thorgh which Troyens loste al hir joye,u x Sx ux S u S,6,u S uS ux S u Su,9,0,37.52,u S uS ux S u Su,9,0,37.52,u S uS ux S u Su,9,0,37.52,u S uS ux S u Su,9,0,37.52,u S uS ux S u Su,9,0,37.52,u S uS ux S u Su,9,0,37.52,u S uS ux S u S,8,0,42.28,u S uS ux S u S,8,0,42.28,      ,0,0,0.00
In houres by his magik naturel,In houres by his magik naturel,u Su S u Su SuS,10,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00,u Su S u Su SuS,10,1,50.00
Whoso shal telle a tale after a man,Whoso shal telle a tale after a man,uS u S u S uS u S,10,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,68.94,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69,uS u Sx u Sx uS u S,10,1,67.69
To seken him a chaunterie for soules,To seken him a chaunterie for soules,u Su S u SuS u Su,11,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91,u Su S u SuS u Sx,10,0,52.91
"Ne mighte me so gladen; lo, min herte",Ne mighte me so gladen lo min herte,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,47.87,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62,u Su S u Su S u Sx,10,1,46.62
“If it be so that ye so cruel be,If it be so that ye so cruel be,u S u S u S u Su S,10,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,49.28,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17,u S u S u S u Su S,10,1,48.17
And if thou write a goodly word al softe,And if thou write a goodly word al softe,u S u Sx u Su S u Sx,10,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,71.63,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52,u S u Sx u Su S u Sx,10,1,70.52
"“ ‘For certes, lord, so sore hath she me wounded",For certes lord so sore hath she me wounded,u Su S u Sx u S u Su,11,u Su S u Sx u S u Sx,10,0,49.92,u Su S u Sx u S u Sx,10,0,49.92,u Su S u Sx u S u Sx,10,0,48.81,u Su S u Sx u x S uS,10,0,45.44,u Su S u Sx u x S uS,10,0,45.44,        ,0,0,0.00,        ,0,0,0.00,u Su S u Sx u x S uS,10,0,45.44,u Su S u Sx u x S uS,10,0,45.44
"The ruby in his signet, and it sette",The ruby in his signet and it sette,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,63.97,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72,u Su S u Su S u Sx,10,1,62.72
Ne of his spech daungerous ne digne,Ne of his spech daungerous ne digne,u S u S uSu S uS,10,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,39.19,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,40.62,S u S u SuS u Sx,9,0,40.62,      ,0,0,0.00
"Theras she sat allone, and gan to caste",Theras she sat allone and gan to caste,uS u S uSx u S u Sx,10,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,83.90,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40,uS u S uSx u S u Sx,10,1,81.40
That in hir coppe was no ferthing sene,That in hir coppe was no ferthing sene,u S u Su S u Su S,10,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86,u S u Su S u Su Sx,10,1,51.86
Allas! that God yow swich a beautee sente!,Allas that God yow swich a beautee sente,uS u S u S u Su Sx,10,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86,uS u S u S u Su Sx,10,1,72.86
"Las time iloste, I dar not with yow dele;",Las time iloste I dar not with yow dele,u Sx uSx u S u S u Sx,10,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,50.29,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51,u Sx uSx u S u S u Sx,10,1,52.51
"O furies three of helle, on yow I crie!",O furies three of helle on yow I crie,u Su S u Sx u S u S,10,u SuS u S ux S u S u,11,0,26.96,u SuS u S ux S u S u,11,0,26.96,u SuS u S ux S u S u,11,0,26.96,u SuS u S ux S u S u,11,0,26.96,u SuS u S ux S u S u,11,0,26.96,        ,0,0,0.00,u Su S u Sx u S u S,10,1,69.34,u Su S u Sx u S u S,10,1,69.34,u Su S u Sx u S u S,10,1,69.34
For every wight which that to Rome went,For every wight which that to Rome went,u Su S u S u Su S,10,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05,u Su S u S u Su S,10,1,69.05
"Thus giltelees, than have ye fisshed faire;",Thus giltelees than have ye fisshed faire,u SuS u Sx u Su Sx,10,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,37.88,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,39.31,u SuS u Sx u Su Sx,10,1,39.31,      ,0,0,0.00
The statue of Mars bigan his hauberk° ringe.,The statue of Mars bigan his hauberk ringe,u Su x S uS u Su Sx,10,u Su S u Su S uS ux,11,0,17.96,u Su S u Su S uS ux,11,0,17.96,u Su S u Su S uS ux,11,0,19.21,u Su S u Su S uS ux,11,0,17.96,u Su S u Su S uS ux,11,0,17.96,       ,0,0,0.00,       ,0,0,0.00,       ,0,0,0.00,       ,0,0,0.00
Al sodeinly he lefte his compleininge.,Al sodeinly he lefte his compleininge,u SuS u Sx u SuSx,10,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,33.01,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,31.34,u SuS u Sx u SuSx,10,1,31.34,     ,0,0,0.00
"I have a joly wo, a lusty sorwe.”",I have a joly wo a lusty sorwe,u Sx u Su S u Su Sx,10,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,78.88,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63,u Sx u Su S u Su Sx,10,1,77.63
Ye folk a lawe han set in universe,Ye folk a lawe han set in universe,u S u Sx u S u SuSx,10,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42,u S u Sx u S u SuSx,10,1,56.42
Tel me anon withouten wordes mo,Tel me anon withouten wordes mo,u S uS uSu Su S,10,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,67.48,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14,u S uS uSu Su S,10,1,69.14
It is oon of the thinges that furthereth most,It is oon of the thinges that furthereth most,u S u S u Sx u Sux S,10,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,54.32,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21,u S u S u Su S uxx S,10,0,53.21
    To swere yet eft a newe assure°,To swere yet eft a newe assure,u S u S u Sx uS,8,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00,      ,0,0,0.00
That with the noise of hir he gan awake;,That with the noise of hir he gan awake,u S u Sx u S u S uSx,10,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,58.57,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35,u S u Sx u S u S uSx,10,1,56.35
What sholde I lenger in this tale tarien?,What sholde I lenger in this tale tarien,u Sx u Sx u S ux SuS,10,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Sx u S ux SuS,10,1,38.21,u Sx u Su S u Sx uS,10,0,61.48,u Sx u Su S u Sx uS,10,0,61.48,u Sx u Su S u Sx uS,10,0,61.48
