Source_File,Headword,Tag,Ending,Count,Percent
TC4_gui_complete.csv,seien,v%inf,-n,7,77.78%
TC4_gui_complete.csv,seien,v%inf,-e,1,11.11%
TC4_gui_complete.csv,seien,v%ppl,-d,3,100.00%
TC4_gui_complete.csv,seien,v%pr_pl,-e,1,14.29%
TC4_gui_complete.csv,seien,v%pr_pl,-en,1,14.29%
TC4_gui_complete.csv,seien,v%pr_pl,-n,5,71.43%
TC4_gui_complete.csv,seien,v%pr_2,-t,2,100.00%
TC4_gui_complete.csv,seien,v%pr_3,other,4,100.00%
TC4_gui_complete.csv,seien,v%pr_1,other,2,66.67%
TC4_gui_complete.csv,seien,v%pr_1,-e,1,33.33%
TC4_gui_complete.csv,tellen,v%pt_3,-de,1,100.00%
TC4_gui_complete.csv,tellen,v%imp,-e,2,66.67%
TC4_gui_complete.csv,tellen,v%imp,other,1,33.33%
TC4_gui_complete.csv,tellen,v%inf,-en,1,50.00%
TC4_gui_complete.csv,tellen,v%inf,-e,1,50.00%
TC4_gui_complete.csv,tellen,v%pr_pl,-en,1,100.00%
TC4_gui_complete.csv,tellen,v%ppl,-d,1,100.00%
TC4_gui_complete.csv,beten,v%ppl,-en,1,100.00%
TC4_gui_complete.csv,heren,v%ppl,-d,4,100.00%
TC4_gui_complete.csv,heren,v%pt_3,-de,1,100.00%
TC4_gui_complete.csv,heren,v%imp,-e,1,100.00%
TC4_gui_complete.csv,liven,v%inf,-e,3,60.00%
TC4_gui_complete.csv,liven,v%inf,-en,2,40.00%
TC4_gui_complete.csv,liven,v%pt_1,-ede,1,100.00%
TC4_gui_complete.csv,liven,v%ppl,-ed,1,100.00%
TC4_gui_complete.csv,liven,v%pr_pl,-e,1,100.00%
TC4_gui_complete.csv,liven,v%pr_3,-eth,1,100.00%
TC4_gui_complete.csv,sen,v%pt_1,other,2,100.00%
TC4_gui_complete.csv,sen,v%inf,-en,8,80.00%
TC4_gui_complete.csv,sen,v%inf,-e,2,20.00%
TC4_gui_complete.csv,sen,v%pt_3,other,5,100.00%
TC4_gui_complete.csv,sen,v%pr_3,-eth,2,100.00%
TC4_gui_complete.csv,sen,v%ppl,-n,2,100.00%
