headword,classification,notes,evidence,total_occurrences
abaten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
abaven,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
abounden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%prp(-e:2),6
abreggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:14),14
abreiden,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:6); v%pr_3(-e:2); v%pt_1(-d:2); v%pt_3(-e:9, -d:1)",20
abrochen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
absenten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
accomplisshen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
accusen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%ppl(-ed:2); v%pt_3(-ed:4)",10
acheken,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
acloien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
acoien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
adournen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
affermen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:4); v%pr_3(-eth:2),8
affilen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
afrighten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
agreen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_3(-e:4),6
agroteien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
ajournen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2(-e:2),2
aken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_pl(-e:2),8
alighten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%ppl(-t:4); v%pt_3(-e:8); v%pt_pl(-e:2),18
alleggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_1(-e:2),8
allien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:5, -en:4); v%ppl(-ed:4)",13
alosen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
amaien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:4),4
amblen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2); v%imp(-e:2),4
ameven,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:2),2
amounten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:8),8
anoien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%ppl(-ed:2); v%pr_3(-eth:10); v%pr_pl(-en:2)",18
apaien,weak,"classified by morphological evidence on January 27, 2026","v%ppl(-d:20, -ed:8); v%ppl_abs(-d:8, -ed:4)",40
apeiren,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2); v%pr_pl(-e:2),6
appareillen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:3, -en:2, other:1)",6
apperceiven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-eth:2),6
apperen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:20, -en:2); v%ppl(-ed:2); v%pt_3(-ed:2)",26
appertenen,unknown,"classified by morphological evidence on January 27, 2026",v%prp(other:2),2
appesen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:10); v%ppl(-ed:4); v%pr_pl(-en:2),16
appetiten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
appreven,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:4),4
approchen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:6, -en:6); v%pr_2(-e:2); v%pr_3(-eth:4); v%pt_3(-ed:2)",22
aquiten,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2, -eth:2); v%inf(-e:4)",8
aracen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_3(-e:2),8
araisen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
areden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:9, -ed:1)",10
aresten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2)",6
arten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
ascenden,weak,"classified by morphological evidence on January 27, 2026","v%ppl(-ed:2); v%prp(other:1, -e:1)",4
assignen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
assoilen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2); v%inf(-e:4, -en:2); v%pr_1(-e:2)",10
asswagen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:7),7
at-reden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
at-rennen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
ataken,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2); v%ppl_abs(-e:2),4
athinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_3(-eth:2),4
attamen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
atteinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:10),10
availen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:34, -en:2); v%pr_3(-eth:20); v%pr_pl(-e:2)",58
avalen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
avauncen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:12); v%pr_3(-e:2),14
avaunten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_1(-e:4); v%pr_pl(-e:2),12
avouen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
awaiten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:6); v%prp(other:2); v%prp_abs(-e:2),10
awarden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
ba,unknown,"classified by morphological evidence on January 27, 2026",v%inf(vowel:4),4
baggen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
baiten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%pr_3(-eth:2)",6
baken,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-e:6); v%inf(-e:4),10
baptisen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%pr_pl(-e:2),4
barren,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
bedden,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
beggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
beginnen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl(other:1),1
belwen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
bibleden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-e:2),2
biblotten,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
bidoten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
biheuen,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
bihoten,weak,"classified by morphological evidence on January 27, 2026","v%ppl(-t:4); v%pr_1(-e:2); v%pr_3(-eth:2); v%pr_pl(-e:2); v%pt_1(-e:2); v%pt_3(-e:6, -t:2); v%pt_pl(-en:4, -e:2)",26
bihoven,unknown,"classified by morphological evidence on January 27, 2026","v%pr_3(-eth:18, other:2)",20
biknouen,strong,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pt_3(other:2); v%pt_pl(-e:2),8
bileven,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2, -eth:2); v%inf(-e:22, -en:5); v%pr_pl(-e:2)",33
bilongen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:4),4
bireinen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:2),2
bishenden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
bishreuen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_1(-e:3, other:1)",4
bistriden,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-d:2),2
biten,strong,"classified by morphological evidence on January 27, 2026","v%inf(-e:21, -en:2); v%ppl(-en:2); v%pr_3(-eth:5, -e:2); v%pr_pl(-e:2); v%pt_3(-t:2)",36
bitoknen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:6),6
bitrenden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-t:4),4
biwaren,weak,"classified by morphological evidence on January 27, 2026",v%imp_pl(other:1); v%ppl(-ed:2),3
biwepen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl_abs(-en:2),4
blaken,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
blasen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
blasten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
bleden,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:20); v%pr_pl(-e:4); v%prp_abs(-e:2); v%pt_3(-e:10),36
blinden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
blinnen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
blonderen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
blosmen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
boden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
boillen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(other:1, -e:1)",2
bokelen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
bolden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
bomblen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
bosten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pr_3(-eth:2),4
bouen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:4); v%inf(-en:4, -e:2); v%pr_3(-eth:2); v%prp_abs(other:1, -e:1)",14
bourden,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2); v%pr_1(-e:2),4
braunchen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
breiden,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%ppl(-d:2); v%ppl_abs(-en:2); v%pr_1(-e:2); v%pt_1(-e:2); v%pt_3(-e:12),26
briben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
broilen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
brokken,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
brouken,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2); v%pr_1(-e:2); v%pr_pl(-en:2)",10
bulten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
burnen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:10); v%pr_3(-eth:2),12
caren,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2, -e:2); v%inf(-e:6)",10
carolen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
carpen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
censen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
cerclen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
chaffaren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
chalengen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:2),4
chastisen,weak,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:2); v%ppl(-ed:2),6
chaunten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:1); v%pr_3(-eth:4),5
chepen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
cherishen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-eth:2); v%inf(-e:10, -en:2); v%pr_3(-eth:2)",16
cheuen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
chimben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
chirken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
chiteren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
choppen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
chukken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
circumscriben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
ciren,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
claimen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:5, -en:1); v%pr_1(-e:2); v%pr_pl(-e:5, -eth:2, other:1)",16
claspen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
clateren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2); v%pt_pl(-en:2),4
clenchen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
clensen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
cleren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8),8
clinken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
closen,unknown,"classified by morphological evidence on January 27, 2026","v#adj%ppl(other:10); v%inf(-e:5, other:1); v%ppl_abs(-ed:2)",18
coien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
coinen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
colden,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:16, -en:2)",18
collecten,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-t:2),2
commeven,unknown,"classified by morphological evidence on January 27, 2026","v%pr_3(-e:2, -eth:2); v%pt_pl(-en:2)",6
committen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pr_3(-eth:2),4
communen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
compassen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%pt_3(-ed:4),6
comporten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
comprehenden,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:9, -en:1); v%ppl(-ed:2)",12
concorden,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(-e:2),2
condescenden,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:2),4
confessen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
conformen,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:1),1
congeien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
congelen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
conjecten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_2(-est:2),2
conjuren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_1(-e:4); v%pr_3(-eth:2),8
consecraten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
consenten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_1(-e:8); v%pr_2(-e:2); v%pr_3(-eth:2); v%prp_abs(other:1),17
conspiren,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
construen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_3(-eth:2),6
conteinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
continuen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:4); v%pr_3(-e:2); v%prp_abs(other:2, -e:2)",10
convicten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
corden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
corrumpen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
coughen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%pr_3(-eth:4)",8
countrepeisen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
countrepleten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
coveiten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:10),10
craken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:4),4
crammen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
crampishen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:1); v%pr_3(-eth:1),2
crasen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%ppl_abs(-ed:2),4
craven,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
crouchen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:1); v%pr_1(-e:2); v%pr_3(-eth:1),4
crouden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4); v%pr_2(-est:2),6
cursen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:6); v%pr_3(-eth:6, -e:2); v%pr_pl(-e:2); v%pt_3(-ed:2); v%pt_pl(-en:2)",20
daren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
darten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:3),3
dauen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:4); v%ppl(-ed:2); v%pr_3(-eth:4, -e:4)",14
debaten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
declamen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-ed:2),2
deden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
defamen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:5); v%pr_pl(-en:2),7
defien,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:2); v%pr_1(-e:9, other:1); v%pr_pl(-e:2)",16
delaien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
demeinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
denien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
depriven,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl(-ed:1),3
dereinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8),8
deren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8),8
derken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
despisen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:18); v%pr_2(-est:2); v%pr_pl(-e:4),24
despoilen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
determinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-en:2),4
devisen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:159, -en:9); v%pr_1(-e:16); v%pr_2(-est:4); v%pr_3(-eth:4); v%pr_pl(-e:4)",196
devouren,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%ppl(-ed:10); v%pr_3(-e:2),18
diapren,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
dichen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-en:2, -e:2); v%ppl_abs(-ed:2)",6
diffinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_1(-e:2); v%pr_pl(-en:2),10
dinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:22),22
directen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
disavauncen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
disblamen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-eth:2),2
discernen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%pr_1(-e:2),10
disclaundren,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:1); v%ppl(-ed:4),5
discomforten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
disdeinen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
disesen,weak,"classified by morphological evidence on January 27, 2026","v%inf(-en:3, -e:3); v%ppl(-ed:2)",8
disheriten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%ppl_abs(-ed:2),4
disobeien,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
displaien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
disponen,unknown,"classified by morphological evidence on January 27, 2026","v%pr_2(-e:2); v%pr_3(-eth:1, other:1)",4
disporten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:14, -en:2); v%pr_pl(-en:2)",18
disseveren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(other:1, -e:1)",2
dissimulen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-en:4); v%pr_3(-eth:2),8
disteinen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%ppl(-ed:1),9
distemperen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
distillen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
distreinen,weak,"classified by morphological evidence on January 27, 2026",v%imp(-e:2); v%inf(-e:6); v%ppl(-ed:1); v%pr_3(-eth:6); v%pt_3(-ed:2),17
disturnen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
diversen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
divinen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:16, -en:2); v%pr_3(-eth:2, -e:2); v%pr_pl(-e:2); v%prp_abs(-e:2)",28
dongen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
doten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2); v%pr_1(-e:2),4
doublen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:6),6
douen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
douten,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-eth:2),2
drien,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:9, -en:2); v%ppl(-ed:2); v%pr_1(-e:6); v%pr_3(-eth:6); v%pr_pl(-e:2); v%pt_pl(-en:2)",29
droppen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2); v%ppl_abs(-ed:2); v%pr_3(-eth:2),6
droupen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_pl(-ed:2),2
druggen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
dullen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2); v%pr_3(-eth:4)",8
duren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:38, -en:4); v%pr_3(-e:2)",44
ebben,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
embaumen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
embelishen,unknown,"classified by morphological evidence on January 27, 2026",v%pt_3(-ed:2),2
embiben,unknown,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2),2
embocen,unknown,"classified by morphological evidence on January 27, 2026","v%ppl_abs(-ed:1, -e:1)",2
empeiren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
emplastren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
empten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2)",4
encensen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
enditen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:62, -en:4); v%pr_1(-e:4); v%pr_2(-est:2); v%pr_3(-eth:2); v%pr_pl(-e:2)",76
enforcen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_1(-e:2),2
enginen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
enhorten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
enluminen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%ppl_abs(-ed:2),4
enointen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2); v%ppl_abs(-t:2),4
enqueren,weak,"classified by morphological evidence on January 27, 2026","v%inf(-e:20, -en:2); v%ppl(-ed:2); v%prp_abs(other:2)",26
enselen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2); v%ppl_abs(-ed:2),4
ensuren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2, -en:2)",4
entamen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
entechen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
entercomunen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
entermedlen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
entermeten,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:2); v%inf(-e:2, -en:2)",6
enterparten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
entriken,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
entunen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%ppl_abs(-ed:2),4
envien,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:7, -en:2); v%pr_2(-e:1)",10
eren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v1#adj%ppl(-ed:1, -d:1)",4
ermen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
erren,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%pr_2(-est:2); v%pr_pl(-en:4, -e:2)",10
exercisen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
exilen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
expellen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
expressen,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:8); v%ppl(-ed:2); v%pr_3(-e:2),12
extenden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
faden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
falteren,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
faste-excusen,unknown,"classified by morphological evidence on January 27, 2026",v(-e:1),1
fastnen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
fatten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
fecchen,unknown,"classified by morphological evidence on January 27, 2026","v%imp(-e:3, other:1); v%inf(-en:12, -e:12); v%pr_3(-e:8)",36
feinten,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-t:1, -e:1); v%pr_1(-e:2); v%pr_2(-est:2); v%pr_3(-e:2)",8
feren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
