headword,classification,notes,evidence,total_occurrences
ihenten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:4),4
iheren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
ikepen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
iknitten,unknown,"classified by morphological evidence on January 27, 2026",v%ppl(-et:2),2
ileven,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:8),8
imenen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
imengen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-d:2),2
impressen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:4, -en:2); v%pr_pl(-e:2)",8
in-knette,weak,"classified by morphological evidence on January 27, 2026",v%pt_3(-e:1),1
infecten,weak,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%ppl(-t:2); v%pr_3(-eth:2),10
infortunen,unknown,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:2),2
inhelden,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
inimen,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:6),6
ipreien,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
isechen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2); v%ppl_abs(-t:2),4
iseien,unknown,"classified by morphological evidence on January 27, 2026","v%ppl(-d:5, -e:1)",6
ishen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:1),1
ishenden,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
ishriven,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
ispeden,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
istinten,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
istonden,strong,"classified by morphological evidence on January 27, 2026",v%ppl(-e:2),2
iswounen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:2),2
itellen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-d:4); v%ppl_abs(-d:4),8
ithen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:4),4
iwenden,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-t:2),2
iworthen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-e:2),2
janglen,unknown,"classified by morphological evidence on January 27, 2026","v#adj%prp(other:1, -e:1); v%inf(-e:2); v%pr_2(-est:2); v%pr_3(-eth:2); v%pr_pl(-e:5, -en:1)",14
jo,unknown,"classified by morphological evidence on January 27, 2026",v%inf(vowel:2),2
joien,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-e:2),2
jouken,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
jumperen,unknown,"classified by morphological evidence on January 27, 2026",v%imp(-e:2),2
juparten,unknown,"classified by morphological evidence on January 27, 2026",v%pr_pl(-en:2),2
justen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:5, -en:3); v%pr_3(-eth:4); v%pr_pl(-en:2); v%prp_abs(other:2)",16
killen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6); v%pr_pl(-e:4),10
kneden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
laden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
languishen,unknown,"classified by morphological evidence on January 27, 2026","v%inf(-e:2); v%pr_3(-eth:4); v%prp(other:2); v%prp_abs(other:4, -e:2)",14
launcen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
launchen,unknown,"classified by morphological evidence on January 27, 2026",v%pr_3(-eth:2),2
leren,weak,"classified by morphological evidence on January 27, 2026",v#adj%ppl(-ed:4); v#adj%ppl_n(-ed:2); v%inf(-e:50); v%ppl(-ed:4); v%pr_pl(-e:6),66
lessen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-en:2),2
liften,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_3(-eth:2),4
lightnen,weak,"classified by morphological evidence on January 27, 2026",v%ppl(-ed:1),1
linen,unknown,"classified by morphological evidence on January 27, 2026",v%ppl_abs(-ed:2),2
lithen,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
loten,unknown,"classified by morphological evidence on January 27, 2026",v%prp_abs(-e:2),2
louren,weak,"classified by morphological evidence on January 27, 2026",v#adj%prp(other:2); v%ppl(-ed:2),4
louten,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:6),6
luren,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2),2
lurken,unknown,"classified by morphological evidence on January 27, 2026","v%prp_abs(-e:3, other:1)",4
madden,unknown,"classified by morphological evidence on January 27, 2026",v%inf(-e:2); v%pr_pl(-e:2),4
