OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
With bleryng of a proud milleres ye,With blering° of a proud milleres eye,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3865,,10,10,With bleryng of a proud milleres ye,With blering of a proud milleres eye,u Su S u S uSu S,u Su S u S uSu S,with@prep bleringe@ger1 of@prep a@indef_art proud@adj milnere@n%gen eie@n1,with@prep bleringe@ger1 of@prep a@indef_art proud@adj milnere@n%gen eie@n1,
If that me liste speke of ribaudye.,If that me liste° speke of ribaudie.,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3866,,0,10,If that me liste speke of ribaudye,If that me liste speke of ribaudie,      ,u S u Su Sx u SuS,if@conj that@part me@pron2%obj listen@v1%pr_3 speken@v%inf of@prep ribaudie@n,if@conj that@part me@pron2%obj listen@v1%pr_3 speken@v%inf of@prep ribaudie@n,
But ik am oold; me list not pley for age;,"But ik° am old, me list not pley for age;",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3867,,10,10,But ik am oold me list not pley for age,But ik am old me list not pley for age,u S u S u S u S u Sx,u S u S u S u S u Sx,but@conj ich@pron%nom ben@v%pr_1 olde@adj me@pron2%obj listen@v1%pr_3 not@adv pleien@v1%inf for@prep age@n,but@conj ich@pron%nom ben@v%pr_1 olde@adj me@pron2%obj listen@v1%pr_3 not@adv pleien@v1%inf for@prep age@n,
Gras tyme is doon; my fodder is now forage;,"Gras time° is doon, my fodder° is forage,°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3868,DIFF,10,10,Gras tyme is doon my fodder is now forage,Gras time is doon my fodder is forage,u Sx u S u Sx u S uSx,u Sx u S u Su S uSx,gras@n#adj time@n ben@v%pr_3 don@v1%ppl min@pron%gen fodder@n ben@v%pr_3 nou@adv forage@n,gras@n#adj time@n ben@v%pr_3 don@v1%ppl min@pron%gen fodder@n ben@v%pr_3 forage@n,green
This white top writeth myne olde yeris;,This white top° writeth mine olde yeres,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3869,,10,10,This white top writeth myne olde yeris,This white top writeth mine olde yeres,u Sx u Su Sx ux SuS,u Sx u Su Sx ux SuS,this@gram_adj whit@adj top@n1 writen@v%pr_3 min@pron%gen olde@adj yer@n%pl,this@gram_adj whit@adj top@n1 writen@v%pr_3 min@pron%gen olde@adj yer@n%pl,
Myn herte is also mowled as myne heris,Min herte is also mowled° as min heres,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3870,,10,10,Myn herte is also mowled as myne heris,Min herte is also mowled as min heres,u Sx u Su Su S ux xS,u Sx u Su Su S u Sx,min@pron%gen herte@n ben@v%pr_3 as@conj moulen@v%ppl as@conj min@pron%gen her@n%pl,min@pron%gen herte@n ben@v%pr_3 as@conj moulen@v%ppl as@conj min@pron%gen her@n%pl,
But if I fare as dooth an open-ers --,But if I fare as dooth an open ers;°,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3871,DIFF,10,10,But if I fare as dooth an openers,But if I fare as dooth an open ers,u S u Sx u S u SuS,u S u Sx u S u Su S,but@conj if@conj ich@pron%nom faren@v%pr_1 as@conj don@v1%pr_3 a@indef_art open-ars@n --@dash,but@conj if@conj ich@pron%nom faren@v%pr_1 as@conj don@v1%pr_3 a@indef_art  ars@n,
That ilke fruyt is ever lenger the wers,"That ilke° fruit is ever leng° the wers,°",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3872,DIFF,10,10,That ilke fruyt is ever lenger the wers,That ilke fruit is ever leng the wers,u Sx u S uS uS u S,u Su S u Su S u S,that@art&gram_adj ilke@pron_gram_adj fruit@n ben@v%pr_3 ever@adv lengere@adv%comp the@adv werse@adj%comp,that@art&gram_adj ilke@pron_gram_adj fruit@n ben@v%pr_3 ever@adv  the@adv werse@adj%comp,
Til it be roten in mullok or in stree.,Til it be roten in mullok° or in stree.,data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3873,,10,10,Til it be roten in mullok or in stree,Til it be roten in mullok or in stree,u S u Sx u Su S u S,u S u Sx u Su S u S,til@conj hit@pron ben@v%pr_3 roten@adj in@prep molloke@n or@conj in@prep strau@n,til@conj hit@pron ben@v%pr_3 roten@adj in@prep molloke@n or@conj in@prep strau@n,
"We olde men, I drede, so fare we:","We olde men, I dred, so fare we;",data/riverside_cats/RvPro_riv.cat,data/oxford_txts/RvPro_oxford.txt,data/csvs/RvPro,The Reeve's Prologue 3874,,10,10,We olde men I drede so fare we,We olde men I dred so fare we,u Su S u Sx u Su S,u Su S u S u Su S,we@pron%pl_nom olde@adj man@n%pl ich@pron%nom dreden@v%pr_1 so@adv faren@v%pr_pl we@pron%pl_nom,we@pron%pl_nom olde@adj man@n%pl ich@pron%nom dreden@v%pr_1 so@adv faren@v%pr_pl we@pron%pl_nom,
