Source_File,Tag,Verb_Class,Ending,Count,Percent
ShipT_gui_complete.csv,v%pr_pl,irregular,-e,6,28.57%
ShipT_gui_complete.csv,v%pr_pl,irregular,-t,2,9.52%
ShipT_gui_complete.csv,v%pr_pl,irregular,-ede,1,4.76%
ShipT_gui_complete.csv,v%pr_pl,irregular,-te,1,4.76%
ShipT_gui_complete.csv,v%pr_pl,strong,-en,4,36.36%
ShipT_gui_complete.csv,v%pr_pl,strong,-e,3,27.27%
ShipT_gui_complete.csv,v%pr_pl,strong,vowel,1,9.09%
ShipT_gui_complete.csv,v%pr_pl,strong,-de,1,9.09%
ShipT_gui_complete.csv,v%pr_pl,strong,other,2,18.18%
ShipT_gui_complete.csv,v%pr_pl,unknown,-e,1,100.00%
ShipT_gui_complete.csv,v%pr_pl,weak,-e,2,33.33%
ShipT_gui_complete.csv,v%pr_pl,weak,-en,1,16.67%
ShipT_gui_complete.csv,v%pr_pl,weak,other,2,33.33%
ShipT_gui_complete.csv,v%pr_pl,weak,-te,1,16.67%
ShipT_gui_complete.csv,v%prp,strong,-ing,1,100.00%
ShipT_gui_complete.csv,v%prp_abs,strong,-ing,1,100.00%
ShipT_gui_complete.csv,v%pt_1,irregular,-de,1,50.00%
ShipT_gui_complete.csv,v%pt_1,irregular,-te,1,50.00%
ShipT_gui_complete.csv,v%pt_1,strong,other,2,66.67%
ShipT_gui_complete.csv,v%pt_1,strong,-e,1,33.33%
ShipT_gui_complete.csv,v%pt_1,weak,-te,1,50.00%
ShipT_gui_complete.csv,v%pt_1,weak,-d,1,50.00%
ShipT_gui_complete.csv,v%pt_3,irregular,-te,3,21.43%
ShipT_gui_complete.csv,v%pt_3,irregular,-de,7,50.00%
ShipT_gui_complete.csv,v%pt_3,irregular,-d,4,28.57%
ShipT_gui_complete.csv,v%pt_3,strong,other,42,65.62%
ShipT_gui_complete.csv,v%pt_3,strong,-t,1,1.56%
ShipT_gui_complete.csv,v%pt_3,strong,-d,18,28.12%
ShipT_gui_complete.csv,v%pt_3,strong,-e,3,4.69%
ShipT_gui_complete.csv,v%pt_3,unknown,-de,1,100.00%
ShipT_gui_complete.csv,v%pt_3,weak,-d,1,7.69%
ShipT_gui_complete.csv,v%pt_3,weak,-te,7,53.85%
ShipT_gui_complete.csv,v%pt_3,weak,-de,3,23.08%
ShipT_gui_complete.csv,v%pt_3,weak,-ed,2,15.38%
ShipT_gui_complete.csv,v%pt_3_neg,irregular,-d,1,100.00%
ShipT_gui_complete.csv,v%pt_3_neg,strong,other,2,100.00%
ShipT_gui_complete.csv,v%pt_pl,irregular,-te,3,60.00%
ShipT_gui_complete.csv,v%pt_pl,irregular,-de,2,40.00%
ShipT_gui_complete.csv,v%pt_pl,strong,other,1,33.33%
ShipT_gui_complete.csv,v%pt_pl,strong,-e,2,66.67%
ShipT_gui_complete.csv,v%pt_pl,weak,-de,2,50.00%
ShipT_gui_complete.csv,v%pt_pl,weak,-d,1,25.00%
ShipT_gui_complete.csv,v%pt_pl,weak,-t,1,25.00%
WBT_gui_complete.csv,ger,unknown,-ing,3,100.00%
WBT_gui_complete.csv,v%imp,irregular,other,3,42.86%
WBT_gui_complete.csv,v%imp,irregular,-e,1,14.29%
WBT_gui_complete.csv,v%imp,irregular,-eth,2,28.57%
WBT_gui_complete.csv,v%imp,irregular,-ede,1,14.29%
WBT_gui_complete.csv,v%imp,strong,-e,1,10.00%
WBT_gui_complete.csv,v%imp,strong,-t,3,30.00%
WBT_gui_complete.csv,v%imp,strong,vowel,1,10.00%
WBT_gui_complete.csv,v%imp,strong,other,4,40.00%
WBT_gui_complete.csv,v%imp,strong,-eth,1,10.00%
WBT_gui_complete.csv,v%imp,weak,other,3,60.00%
WBT_gui_complete.csv,v%imp,weak,-e,1,20.00%
WBT_gui_complete.csv,v%imp,weak,-t,1,20.00%
WBT_gui_complete.csv,v%inf,irregular,other,12,40.00%
WBT_gui_complete.csv,v%inf,irregular,-en,4,13.33%
WBT_gui_complete.csv,v%inf,irregular,-e,11,36.67%
WBT_gui_complete.csv,v%inf,irregular,-de,2,6.67%
WBT_gui_complete.csv,v%inf,irregular,-et,1,3.33%
WBT_gui_complete.csv,v%inf,strong,-e,26,47.27%
WBT_gui_complete.csv,v%inf,strong,-en,4,7.27%
WBT_gui_complete.csv,v%inf,strong,vowel,11,20.00%
WBT_gui_complete.csv,v%inf,strong,other,6,10.91%
WBT_gui_complete.csv,v%inf,strong,-de,6,10.91%
WBT_gui_complete.csv,v%inf,strong,-te,1,1.82%
WBT_gui_complete.csv,v%inf,strong,-d,1,1.82%
WBT_gui_complete.csv,v%inf,unknown,-e,10,83.33%
WBT_gui_complete.csv,v%inf,unknown,-te,1,8.33%
WBT_gui_complete.csv,v%inf,unknown,-de,1,8.33%
WBT_gui_complete.csv,v%inf,weak,-e,9,56.25%
WBT_gui_complete.csv,v%inf,weak,-de,2,12.50%
WBT_gui_complete.csv,v%inf,weak,-te,1,6.25%
WBT_gui_complete.csv,v%inf,weak,-t,2,12.50%
WBT_gui_complete.csv,v%inf,weak,-en,1,6.25%
WBT_gui_complete.csv,v%inf,weak,other,1,6.25%
WBT_gui_complete.csv,v%ppl,irregular,-t,1,100.00%
WBT_gui_complete.csv,v%ppl,strong,other,2,40.00%
WBT_gui_complete.csv,v%ppl,strong,-en,3,60.00%
WBT_gui_complete.csv,v%ppl,weak,-t,3,15.79%
WBT_gui_complete.csv,v%ppl,weak,-ed,15,78.95%
WBT_gui_complete.csv,v%ppl,weak,-de,1,5.26%
WBT_gui_complete.csv,v%ppl_abs,irregular,vowel,1,100.00%
WBT_gui_complete.csv,v%ppl_abs,weak,-ed,1,100.00%
WBT_gui_complete.csv,v%pr_1,irregular,-ede,1,6.25%
WBT_gui_complete.csv,v%pr_1,irregular,other,11,68.75%
