Headword,Tag,Ending,Count,Percent
willen,v%pr_3,-e,1,0.46%
willen,v%pr_3,-n,1,0.46%
willen,v%pr_3,-eth,1,0.46%
willen,v%pr_pl_neg,other,3,100.00%
willen,v%pt_1_neg,-d,6,50.00%
willen,v%pt_1_neg,-de,6,50.00%
willen,v%pr_3_neg,other,26,100.00%
willen,v%pr_2_neg,-t,4,100.00%
willen,v%pt_2,-est,11,91.67%
willen,v%pt_2,other,1,8.33%
willen,v%pr_2,-t,38,97.44%
willen,v%pr_2,other,1,2.56%
willen,v%pr_1_neg,other,21,100.00%
willen,v%pr_2_pron,other,14,100.00%
willen,v%pr_2_neg_pron,other,6,100.00%
willen,v%pt_pl_neg,-de,3,75.00%
willen,v%pt_pl_neg,-en,1,25.00%
willen,v%pt_2_pron,other,2,100.00%
sitten,v%pr_3,-t,22,78.57%
sitten,v%pr_3,-eth,6,21.43%
sitten,v%inf,-te,2,28.57%
sitten,v%inf,-t,1,14.29%
sitten,v%inf,-en,4,57.14%
sitten,v%pt_3,-t,23,88.46%
sitten,v%pt_3,-te,2,7.69%
sitten,v%pt_3,-et,1,3.85%
sitten,v%prp_abs,-ing,5,71.43%
sitten,v%prp_abs,-e,2,28.57%
sitten,v%imp,-eth,1,50.00%
sitten,v%imp,-t,1,50.00%
sitten,v%pr_pl,-t,1,100.00%
sitten,v%ppl,-en,2,100.00%
sitten,v%pr_2,-te,1,100.00%
sitten,v%pt_pl,-en,4,100.00%
sitten,v#adj%prp,-est,1,100.00%
passen,v%ppl,-ed,14,100.00%
passen,v%pt_3,-ed,6,100.00%
passen,v%inf,-en,6,75.00%
passen,v%inf,-e,2,25.00%
passen,v%pr_1,-e,1,100.00%
passen,v%pr_3,-eth,8,100.00%
passen,v%pr_pl,-en,1,50.00%
passen,v%pr_pl,other,1,50.00%
passen,v%prp_abs,-e,1,100.00%
walken,v%pr_3,-eth,9,100.00%
walken,v%prp_abs,-ing,3,100.00%
walken,v%inf,-en,1,33.33%
walken,v%inf,-e,2,66.67%
walken,v%ppl,-ed,2,100.00%
walken,v%imp,-eth,1,33.33%
walken,v%imp,-e,2,66.67%
walken,v%pt_pl,-ed,1,100.00%
walken,v%pr_2,-est,1,50.00%
walken,v%pr_2,-e,1,50.00%
walken,v%pt_3,other,1,50.00%
walken,v%pt_3,-ed,1,50.00%
walken,v%pr_pl,-en,1,100.00%
eilen,v%pr_3,-eth,13,100.00%
eilen,v%inf,-en,1,100.00%
eilen,v%pt_3,-ed,1,100.00%
quethen,v%pt_3,-d,704,99.72%
quethen,v%pt_3,other,2,0.28%
quethen,v%pt_pl,-d,4,100.00%
quethen,v%pt_1,-d,1,100.00%
ouen,v%pt_3,-te,28,84.85%
ouen,v%pt_3,-t,5,15.15%
ouen,v%pt_pl,-te,4,66.67%
ouen,v%pt_pl,-en,2,33.33%
ouen,v%pt_1,-te,4,80.00%
ouen,v%pt_1,-t,1,20.00%
ouen,v%pr_2,-est,1,100.00%
ouen,v%pr_1,-e,1,100.00%
ouen,v%pr_3,-te,1,100.00%
ouen,v%pr_pl,-en,1,100.00%
ouen,v%pt_2_pron,other,1,100.00%
ouen,v%pt_2,-est,2,100.00%
apallen,v#adj%ppl,-ed,1,100.00%
apallen,v%ppl,-ed,1,100.00%
wedden,v#adj%ppl,-ed,15,100.00%
wedden,v%ppl,-ed,29,100.00%
wedden,v%pt_3,-ed,2,66.67%
wedden,v%pt_3,-ede,1,33.33%
wedden,v%inf,-de,6,60.00%
wedden,v%inf,-ed,1,10.00%
wedden,v%inf,-en,3,30.00%
trouen,v%pr_1,-e,23,58.97%
trouen,v%pr_1,other,16,41.03%
trouen,v%imp,other,3,100.00%
trouen,v%pr_2,-est,2,100.00%
trouen,v%pr_3,-eth,2,66.67%
trouen,v%pr_3,-e,1,33.33%
trouen,v%pr_pl,-en,1,16.67%
trouen,v%pr_pl,-e,5,83.33%
trouen,v%ppl,-ed,1,100.00%
trouen,v%pt_3,-ed,2,100.00%
trouen,v%pt_pl,-ed,1,100.00%
trouen,v%inf,-en,5,71.43%
trouen,v%inf,other,2,28.57%
labouren,v%ppl,-ed,1,100.00%
labouren,v%pr_pl,-en,1,100.00%
