Source_File,Tag,Ending,Count,Percent
ShipT_gui_complete.csv,ger,-ing,1,50.00%
ShipT_gui_complete.csv,ger,-e,1,50.00%
ShipT_gui_complete.csv,v%pr_1,-e,19,40.43%
ShipT_gui_complete.csv,v%pr_1,-te,2,4.26%
ShipT_gui_complete.csv,v%pr_1,other,24,51.06%
ShipT_gui_complete.csv,v%pr_1,vowel,2,4.26%
ShipT_gui_complete.csv,v%pt_3_neg,-d,1,33.33%
ShipT_gui_complete.csv,v%pt_3_neg,other,2,66.67%
ShipT_gui_complete.csv,v%prp_abs,-ing,1,100.00%
ShipT_gui_complete.csv,v#adj%ppl,-ed,2,100.00%
ShipT_gui_complete.csv,v%pt_1,other,2,28.57%
ShipT_gui_complete.csv,v%pt_1,-de,1,14.29%
ShipT_gui_complete.csv,v%pt_1,-te,2,28.57%
ShipT_gui_complete.csv,v%pt_1,-e,1,14.29%
ShipT_gui_complete.csv,v%pt_1,-d,1,14.29%
ShipT_gui_complete.csv,v%pr_1_neg,-e,1,100.00%
ShipT_gui_complete.csv,ger%pl,other,1,100.00%
ShipT_gui_complete.csv,v%pr_2_pron,other,2,100.00%
ShipT_gui_complete.csv,v%pr_2,-t,1,100.00%
ShipT_gui_complete.csv,v%ppl_abs,-e,1,50.00%
ShipT_gui_complete.csv,v%ppl_abs,-ed,1,50.00%
ShipT_gui_complete.csv,v%pr_3_neg,other,1,100.00%
WBT_gui_complete.csv,v%pr_pl,-en,16,32.00%
WBT_gui_complete.csv,v%pr_pl,other,17,34.00%
WBT_gui_complete.csv,v%pr_pl,-e,15,30.00%
WBT_gui_complete.csv,v%pr_pl,-de,2,4.00%
WBT_gui_complete.csv,v%pt_3,other,42,42.00%
WBT_gui_complete.csv,v%pt_3,-ed,4,4.00%
WBT_gui_complete.csv,v%pt_3,-d,28,28.00%
WBT_gui_complete.csv,v%pt_3,-te,9,9.00%
WBT_gui_complete.csv,v%pt_3,-de,14,14.00%
WBT_gui_complete.csv,v%pt_3,-t,2,2.00%
WBT_gui_complete.csv,v%pt_3,-e,1,1.00%
WBT_gui_complete.csv,v%pr_1,-ede,1,2.50%
WBT_gui_complete.csv,v%pr_1,-t,4,10.00%
WBT_gui_complete.csv,v%pr_1,other,20,50.00%
WBT_gui_complete.csv,v%pr_1,-e,10,25.00%
WBT_gui_complete.csv,v%pr_1,-te,1,2.50%
WBT_gui_complete.csv,v%pr_1,vowel,2,5.00%
WBT_gui_complete.csv,v%pr_1,-de,2,5.00%
WBT_gui_complete.csv,v%ppl_abs,vowel,1,50.00%
WBT_gui_complete.csv,v%ppl_abs,-ed,1,50.00%
WBT_gui_complete.csv,v%pr_3,other,72,73.47%
WBT_gui_complete.csv,v%pr_3,-eth,14,14.29%
WBT_gui_complete.csv,v%pr_3,-t,6,6.12%
WBT_gui_complete.csv,v%pr_3,-e,3,3.06%
WBT_gui_complete.csv,v%pr_3,-te,1,1.02%
WBT_gui_complete.csv,v%pr_3,-de,2,2.04%
WBT_gui_complete.csv,v%inf,-e,56,49.56%
WBT_gui_complete.csv,v%inf,-en,9,7.96%
WBT_gui_complete.csv,v%inf,vowel,11,9.73%
WBT_gui_complete.csv,v%inf,other,19,16.81%
WBT_gui_complete.csv,v%inf,-de,11,9.73%
WBT_gui_complete.csv,v%inf,-te,3,2.65%
WBT_gui_complete.csv,v%inf,-t,2,1.77%
WBT_gui_complete.csv,v%inf,-et,1,0.88%
WBT_gui_complete.csv,v%inf,-d,1,0.88%
WBT_gui_complete.csv,v%prp_abs,-e,2,100.00%
WBT_gui_complete.csv,v%ppl,-t,4,16.00%
WBT_gui_complete.csv,v%ppl,other,2,8.00%
WBT_gui_complete.csv,v%ppl,-ed,15,60.00%
WBT_gui_complete.csv,v%ppl,-de,1,4.00%
WBT_gui_complete.csv,v%ppl,-en,3,12.00%
WBT_gui_complete.csv,v%pt_pl,-en,5,33.33%
WBT_gui_complete.csv,v%pt_pl,-de,4,26.67%
WBT_gui_complete.csv,v%pt_pl,-d,2,13.33%
WBT_gui_complete.csv,v%pt_pl,-ed,1,6.67%
WBT_gui_complete.csv,v%pt_pl,-te,2,13.33%
WBT_gui_complete.csv,v%pt_pl,-e,1,6.67%
WBT_gui_complete.csv,v%pr_2,-t,5,83.33%
WBT_gui_complete.csv,v%pr_2,-e,1,16.67%
WBT_gui_complete.csv,v%pr_2_pron,other,1,100.00%
WBT_gui_complete.csv,v%imp,-e,3,13.64%
WBT_gui_complete.csv,v%imp,other,10,45.45%
WBT_gui_complete.csv,v%imp,-t,4,18.18%
WBT_gui_complete.csv,v%imp,vowel,1,4.55%
WBT_gui_complete.csv,v%imp,-eth,3,13.64%
WBT_gui_complete.csv,v%imp,-ede,1,4.55%
WBT_gui_complete.csv,v%pr_pl_neg,other,1,100.00%
WBT_gui_complete.csv,v%pt_3_neg,-de,1,25.00%
WBT_gui_complete.csv,v%pt_3_neg,-te,1,25.00%
WBT_gui_complete.csv,v%pt_3_neg,other,2,50.00%
WBT_gui_complete.csv,v%pt_1,-t,1,33.33%
WBT_gui_complete.csv,v%pt_1,-d,1,33.33%
WBT_gui_complete.csv,v%pt_1,-te,1,33.33%
WBT_gui_complete.csv,v%pr_1_neg,other,1,100.00%
WBT_gui_complete.csv,v%pt_1_neg,-d,1,100.00%
WBT_gui_complete.csv,ger,-ing,3,100.00%
WBT_gui_complete.csv,v%pr_3_neg,other,3,100.00%
WBT_gui_complete.csv,v1&%inf,-e,1,100.00%
MerPro_gui_complete.csv,ger,-ing,1,100.00%
MerPro_gui_complete.csv,v%pr_1,other,4,57.14%
MerPro_gui_complete.csv,v%pr_1,-e,3,42.86%
MerPro_gui_complete.csv,v%pt_3,-d,2,50.00%
MerPro_gui_complete.csv,v%pt_3,-e,1,25.00%
MerPro_gui_complete.csv,v%pt_3,-de,1,25.00%
MerPro_gui_complete.csv,v%ppl,-ed,3,60.00%
MerPro_gui_complete.csv,v%ppl,-e,1,20.00%
MerPro_gui_complete.csv,v%ppl,-en,1,20.00%
