Headword,Stem Forms,All Forms,Always Ends in E
ferther,,ferther,No
notable,notable,notable,Yes
no_more,,namore,No
store,store,store,Yes
hende,hende,hende,Yes
derne,derne,derne,Yes
gent,gent,gent,No
col-blak,colblak,colblak,No
perled,perled,perled,No
yern,yerne,yerne,Yes
upright,upright,upright,No
gaillard,gaylard,gaylard,No
squaimous,squaimous,squaimous,No
loveli,lovely,lovely,No
neigh,ny; nye,ny; nye,No
tikel,tikel,tikel,No
amis,amis,amis,No
nethere,,nether,No
damascene,,damassene,No
unclene,unclene,unclene,Yes
al-mighti,almighty,almighty,No
venimous,venimous,venimous,No
elat,elaat,elaat,No
wight,wight,wight,No
doughti,doghty; doughty,doghty; doughty,No
romain,romain; roman,romain; roman,No
corageous,corageous,corageous,No
sirien,,surrien,No
narwe,narwe,narwe,Yes
soti,sooty,sooty,No
compaignable,compaignable,compaignable,Yes
herteles,hertelees,hertelees,No
tercian,terciane,terciane,Yes
wlatsom,wlatsom,wlatsom,No
contrarie,contrarie,contrarie,Yes
scarlet,scarlet,scarlet,No
real,real; royal,real; royal,No
som-what,somwhat,somwhat,No
