OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
And for to stire hem to devocioun.,And for to stire men to devocioun.,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 346,DIFF,10,10,And for to stire hem to devocioun,And for to stire men to devocioun,u S u Sx u S uSuS,u S u Sx u S uSuS,and@conj for@prep#adv to@part stiren@v%inf hem@pron%pl_obj to@prep devocioun@n,and@conj for@prep#adv to@part stiren@v%inf man@pron_pl to@part devocioun@n,green
Thanne shewe I forth my longe cristal stones,¶“Than shewe I forth my longe cristal stones,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 347,,10,10,Thanne shewe I forth my longe cristal stones,Than shewe I forth my longe cristal stones,ux Sx u S u Sx uS uS,u Sx u S u Sx uS uS,thanne@adv sheuen@v1%pr_1 ich@pron%nom forth@adv min@pron%gen long@adj1 cristal@adj ston@n%pl,thanne@adv sheuen@v1%pr_1 ich@pron%nom forth@adv min@pron%gen long@adj1 cristal@adj ston@n%pl,
Ycrammed ful of cloutes and of bones --,Ycrammed° ful of cloutes° and of bones;,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 348,,10,10,Ycrammed ful of cloutes and of bones,Ycrammed ful of cloutes and of bones,uSu S u Su S u Sx,uSu S u Su S u Sx,crammen@v%ppl_abs ful@adj of@prep clout@n1%pl and@conj of@prep bon@n1%pl --@dash,crammen@v%ppl_abs ful@adj of@prep clout@n1%pl and@conj of@prep bon@n1%pl --@dash,
"Relikes been they, as wenen they echoon.","Reliks been they, as wenen° they echoon.°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 349,,10,10,Relikes been they as wenen they echoon,Reliks been they as wenen they echoon,uSu S u S ux S uS,uS u S u Su S uS,relik@n%pl ben@v%pr_pl thei@pron%pl_nom as@conj wenen@v2%pr_pl thei@pron%pl_nom ech_on@pron,relik@n%pl ben@v%pr_pl thei@pron%pl_nom as@conj wenen@v2%pr_pl thei@pron%pl_nom ech_on@pron,
Thanne have I in latoun a sholder-boon,Than have I in latoun° a sholder-boon,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 350,,10,10,Thanne have I in latoun a sholderboon,Than have I in latoun a sholderboon,ux Sx u S uS u SuS,u Sx u S uS u SuS,thanne@adv haven@v%pr_1 ich@pron%nom in@prep latoun@n a@indef_art shulder-bon@n,thanne@adv haven@v%pr_1 ich@pron%nom in@prep latoun@n a@indef_art shulder-bon@n,
Which that was of an hooly Jewes sheep.,Which that was of an holy Jewes shepe.,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 351,,10,10,Which that was of an hooly Jewes sheep,Which that was of an holy Jewes shepe,u S u S u Su Su S,u S u S u Su Su Sx,which@pron that@pron ben@v%pt_3 of@prep a@indef_art holi@adj2 jeu@n%gen shep@n,which@pron that@pron ben@v%pt_3 of@prep a@indef_art holi@adj2 jeu@n%gen shep@n,
"`Goode men,' I seye, `taak of my wordes keep;","‘Good men,’ seye I, ‘tak of my wordes kepe;°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 352,DIFF,10,10,Goode men I seye taak of my wordes keep,Good men seye I tak of my wordes kepe,ux S u S u S u Su S,u S u S u S u Su Sx,god@adj man@n%pl ich@pron%nom seien@v1%pr_1 taken@v%imp of@prep min@pron%gen word@n%pl kep@n,god@adj man@n%pl seien@v1%pr_1 ich@pron%nom taken@v%imp of@prep min@pron%gen word@n%pl kep@n,green
If that this boon be wasshe in any welle,If that this boon be wasshe in any welle,data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 353,,10,10,If that this boon be wasshe in any welle,If that this boon be wasshe in any welle,u S u S u Sx u Su Sx,u S u S u Sx u Su Sx,if@conj that@conj this@gram_adj bon@n1 ben@v%pr_3 washen@v%ppl in@prep ani@gram_adj welle@n,if@conj that@conj this@gram_adj bon@n1 ben@v%pr_3 washen@v%ppl in@prep ani@gram_adj welle@n,
"If cow, or calf, or sheep, or oxe swelle","If cow, or calf, or sheep, or oxe swelle",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 354,,10,10,If cow or calf or sheep or oxe swelle,If cow or calf or sheep or oxe swelle,u S u S u S u Su Sx,u S u S u S u Su Sx,if@conj cou@n or@conj calf@n1 or@conj shep@n or@conj oxe@n swellen@v%pr_3,if@conj cou@n or@conj calf@n1 or@conj shep@n or@conj oxe@n swellen@v%pr_3,
"That any worm hath ete, or worm ystonge","That any worm hath ete,° or worm° ystonge,°",data/riverside_cats/PardPro_riv.cat,data/oxford_txts/PardPro_oxford.txt,data/csvs/PardPro,The Pardoner's Prologue 355,,10,10,That any worm hath ete or worm ystonge,That any worm hath ete or worm ystonge,u Su S u Sx u S uSx,u Su S u Sx u S uSx,that@pron ani@gram_adj worm@n haven@v%pr_3 eten@v%ppl or@conj worm@n stingen@v%ppl,that@pron ani@gram_adj worm@n haven@v%pr_3 eten@v%ppl or@conj worm@n stingen@v%ppl,
