OG_RIV_TEXT,OG_OXFORD_TEXT,RIVERSIDE_FILENAME,OXFORD_FILENAME,OUTPUT_FILENAME,LINE_NUMBER,MATCH,RIVERSIDE_SYLLABLES,OXFORD_SYLLABLES,RIVERSIDE_TEXT,OXFORD_TEXT,RIVERSIDE_SCANSION,OXFORD_SCANSION,RIVERSIDE_TAGGING,OXFORD_TAGGING,FLAG_COLOR
For merveille of this knyght; hym to biholde,For merveille of this knight; him to biholde°,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 87,,10,10,For merveille of this knyght hym to biholde,For merveille of this knight him to biholde,u Sux S u S u S uSx,u Sux S u S u S uSx,for@conj merveille@n of@prep this@gram_adj knight@n him@pron%obj to@part biholden@v%inf,for@conj merveille@n of@prep this@gram_adj knight@n him@pron%obj to@part biholden@v%inf,
"Ful bisily they wayten, yonge and olde.",Ful bisily° they waiten° yonge and olde.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 88,,10,10,Ful bisily they wayten yonge and olde,Ful bisily they waiten yonge and olde,u SuS u Su Sx u Sx,u SuS u Su Sx u Sx,ful@adv bisili@adv thei@pron%pl_nom waiten@v%pr_pl yong@adj and@conj olde@adj,ful@adv bisili@adv thei@pron%pl_nom waiten@v%pr_pl yong@adj and@conj olde@adj,
"This strange knyght, that cam thus sodeynly","This strange knight, that cam thus sodeinly",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 89,,10,10,This strange knyght that cam thus sodeynly,This strange knight that cam thus sodeinly,u Su S u S u SuS,u Su S u S u SuS,this@gram_adj straunge@adj knight@n that@pron comen@v%pt_3 thus@adv sodeinli@adv,this@gram_adj straunge@adj knight@n that@pron comen@v%pt_3 thus@adv sodeinli@adv,
"Al armed, save his heed, ful richely",Al armed save his heed ful richely,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 90,,10,10,Al armed save his heed ful richely,Al armed save his heed ful richely,u Su Sx u S u SuS,u Su Sx u S u SuS,al@adv armen@v#adj%ppl sauf@prep his@pron1%gen hed@n1 ful@adv richeli@adv,al@adv armen@v#adj%ppl sauf@prep his@pron1%gen hed@n1 ful@adv richeli@adv,
Saleweth kyng and queene and lordes alle,"Saluëth° king and queen, and lordes alle",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 91,DIFF,10,9,Saleweth kyng and queene and lordes alle,Saluth king and queen and lordes alle,uSu S u Sx u Su Sx,Su S u S u Su Sx,saluen@v%pr_3 king@n and@conj quene@n2 and@conj lord@n%pl al@gram_adj,saluen@v%pr_3 king@n and@conj quene@n2 and@conj lord@n%pl al@gram_adj,green
"By ordre, as they seten in the halle","By° ordre, as they seten° in the halle",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 92,,10,10,By ordre as they seten in the halle,By ordre as they seten in the halle,u Su S u Su S u Sx,u Su S u Su S u Sx,bi@prep ordre@n as@conj thei@pron%pl_nom sitten@v%pt_pl in@prep the@def_art halle@n,bi@prep ordre@n as@conj thei@pron%pl_nom sitten@v%pt_pl in@prep the@def_art halle@n,
With so heigh reverence and obeisaunce,With so heigh reverence and obeisaunce,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 93,,10,10,With so heigh reverence and obeisaunce,With so heigh reverence and obeisaunce,u S u SuSx u SuSx,u S u SuSx u SuSx,with@prep so@adv heigh@adj reverence@n and@conj obeisaunce@n,with@prep so@adv heigh@adj reverence@n and@conj obeisaunce@n,
As wel in speche as in contenaunce,"As wel in speche as in contenaunce,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 94,,10,10,As wel in speche as in contenaunce,As wel in speche as in contenaunce,u S u Su S u SuSx,u S u Su S u SuSx,as@conj wel@adv in@prep speche@n as@conj in@prep contenaunce@n,as@conj wel@adv in@prep speche@n as@conj in@prep contenaunce@n,
"That Gawayn, with his olde curteisye","That Gawain, with his olde curteisie",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 95,,0,10,That Gawayn with his olde curteisye,That Gawain with his olde curteisie,"     ",u Su S u Su SuS,that@conj gawain@n#propn with@prep his@pron1%gen olde@adj courteisie@n,that@conj gawain@n#propn with@prep his@pron1%gen olde@adj courteisie@n,
Though he were comen ayeyn out of Fairye,"Though he were come agein out of Fairie,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 96,DIFF,0,10,Though he were comen ayeyn out of Fairye,Though he were come agein out of Fairie,"       ",u S ux Sx uS u S uS,though@conj he@pron1%nom ben@v%pt_3 comen@v%ppl ayen@adv oute@adv#prep of@prep fairie@n,though@conj he@pron1%nom ben@v%pt_3 comen@v%ppl ayen@adv oute@adv#prep of@prep fairie@n,green
Ne koude hym nat amende with a word.,Ne coude him nat amende° with a word.,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 97,,10,10,Ne koude hym nat amende with a word,Ne coude him nat amende with a word,u Sx u S uSu S u S,u Sx u S uSu S u S,ne@adv connen@v%pt_3 him@pron%obj not@adv amenden@v%inf with@prep a@indef_art word@n,ne@adv connen@v%pt_3 him@pron%obj not@adv amenden@v%inf with@prep a@indef_art word@n,
"And after this, biforn the heighe bord","And after this, biforn the heighe bord",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 98,,10,10,And after this biforn the heighe bord,And after this biforn the heighe bord,u Su S uS u Su S,u Su S uS u Su S,and@conj after@prep this@pron biforen@prep the@def_art heigh@adj bord@n,and@conj after@prep this@pron biforen@prep the@def_art heigh@adj bord@n,
He with a manly voys seide his message,He with a manly vois seith his message,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 99,DIFF,10,10,He with a manly voys seide his message,He with a manly vois seith his message,u S u Su S ux S uSx,u S u Su S u S uSx,he@pron1%nom with@prep a@indef_art manli@adj voice@n seien@v1%pt_3 his@pron1%gen message@n1,he@pron1%nom with@prep a@indef_art manli@adj voice@n seien@v1%pr_3 his@pron1%gen message@n1,green
After the forme used in his langage,After the forme° used in his langage,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 100,,10,10,After the forme used in his langage,After the forme used in his langage,uS u Sx uS u S uSx,uS u Sx uS u S uSx,after@prep the@def_art forme@n usen@v%ppl_abs in@prep his@pron1%gen langage@n,after@prep the@def_art forme@n usen@v%ppl_abs in@prep his@pron1%gen langage@n,
Withouten vice of silable or of lettre;,Withouten vice of° sillable or of lettre;,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 101,,10,10,Withouten vice of silable or of lettre,Withouten vice of sillable or of lettre,uSu Sx u Sux S u Sx,uSu Sx u Sux S u Sx,withouten@prep vice@n of@prep sillable@n or@conj of@prep lettre@n,withouten@prep vice@n of@prep sillable@n or@conj of@prep lettre@n,
And for his tale sholde seme the bettre,"And, for° his tale sholde seme the bettre",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 102,,10,10,And for his tale sholde seme the bettre,And for his tale sholde seme the bettre,u S u Su Su Sx u Sx,u S u Su Su Sx u Sx,and@conj for@conj his@pron1%gen tale@n shulen@v1%pt_3 semen@v2%inf the@adv bettre@adj%comp,and@conj for@conj his@pron1%gen tale@n shulen@v1%pt_3 semen@v2%inf the@adv bettre@adj%comp,
Accordant to his wordes was his cheere,"Accordant° to his wordes was his chere,°",data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 103,,10,10,Accordant to his wordes was his cheere,Accordant to his wordes was his chere,uSu S u Su S u Sx,uSu S u Su S u Sx,accordaunt@adj to@prep his@pron1%gen word@n%pl ben@v%pt_3 his@pron1%gen chere@n1,accordaunt@adj to@prep his@pron1%gen word@n%pl ben@v%pt_3 his@pron1%gen chere@n1,
As techeth art of speche hem that it leere.,As techeth art of speche hem that it lere;°,data/riverside_cats/SqT_riv.cat,data/oxford_txts/SqT_oxford.txt,data/csvs/SqT,The Squire's Tale 104,,10,10,As techeth art of speche hem that it leere,As techeth art of speche hem that it lere,u Su S u Sx u S u Sx,u Su S u Sx u S u Sx,as@conj techen@v%pr_3 art@n1 of@prep speche@n hem@pron%pl_obj that@pron hit@pron leren@v%pr_pl,as@conj techen@v%pr_3 art@n1 of@prep speche@n hem@pron%pl_obj that@pron hit@pron leren@v%pr_pl,
